p1_id,p2_id,doc_id,sentence_index,label,expectation,tokens,p1_text,p1_start,p1_end,p2_text,p2_start,p2_end
105357af-4913-40db-9a4f-43352f580933_2_2_3,105357af-4913-40db-9a4f-43352f580933_2_5_6,105357af-4913-40db-9a4f-43352f580933,2,,0.995,"{Former,housewife,Shereè,Whitfield,and,Shamea,Morton,will,also,join,the,cast,with,recurring,appearances,in,Season,8,.}",Shereè Whitfield,2,3,Shamea Morton,5,6
cc364dd4-00db-41b0-84f1-ec4666be90ec_5_28_28,cc364dd4-00db-41b0-84f1-ec4666be90ec_5_26_26,cc364dd4-00db-41b0-84f1-ec4666be90ec,5,,0.98,"{``,Through,this,auction,"","",I,hope,we,can,raise,as,much,money,as,possible,to,help,provide,for,his,wife,"","",-LRB-,and,daughters,-RRB-,Jane,and,Jessica,.,''}",Jessica,28,28,Jane,26,26
2f8ca217-d0d0-4d4a-b7a7-936e1a35a446_1_19_20,2f8ca217-d0d0-4d4a-b7a7-936e1a35a446_1_16_17,2f8ca217-d0d0-4d4a-b7a7-936e1a35a446,1,,0.989,"{A,12-year-old,girl,in,England,just,scored,higher,on,a,Mensa,IQ,test,than,notorious,high-IQ-havers,Albert,Einstein,and,Stephen,Hawking,.}",Stephen Hawking,19,20,Albert Einstein,16,17
c10ef88f-eb91-4f10-83bd-140bd79fe9fc_6_3_3,c10ef88f-eb91-4f10-83bd-140bd79fe9fc_6_1_1,c10ef88f-eb91-4f10-83bd-140bd79fe9fc,6,,0.984,"{Both,Simon,and,Shelley,were,identified,by,dental,records,"","",the,court,heard,.}",Shelley,3,3,Simon,1,1
48a4dbc9-0936-4179-8a7f-84d18c64f5ef_117_2_2,48a4dbc9-0936-4179-8a7f-84d18c64f5ef_117_4_4,48a4dbc9-0936-4179-8a7f-84d18c64f5ef,117,,0.985,"{His,grandchildren,Barnaby,and,Tilly,loved,hearing,his,stories,and,learning,the,songs,he,remembered,from,his,childhood,.}",Barnaby,2,2,Tilly,4,4
87390bff-e5fb-4459-b0e8-d3055a6e2f63_43_0_1,87390bff-e5fb-4459-b0e8-d3055a6e2f63_43_3_4,87390bff-e5fb-4459-b0e8-d3055a6e2f63,43,,1,"{Stella,Toepfer,and,Ted,Cooper,could,not,have,children,due,to,fertility,problems,and,Paulette,was,eventually,moved,to,the,USA,on,August,28,"","",1948,.}",Stella Toepfer,0,1,Ted Cooper,3,4
910660b5-a083-439d-98d6-a9ad45c9a0c2_13_12_12,910660b5-a083-439d-98d6-a9ad45c9a0c2_13_10_10,910660b5-a083-439d-98d6-a9ad45c9a0c2,13,,0.995,"{While,Russian,criminal,investigators,have,ruled,that,the,remains,of,Alexei,and,Maria,are,authentic,after,DNA,testing,"","",their,identity,has,not,been,accepted,by,the,Russian,Orthodox,Church,or,by,some,Romanov,descendants,.}",Maria,12,12,Alexei,10,10
b10502ab-b410-49a4-b2b0-5e3862d8dfe8_39_0_1,b10502ab-b410-49a4-b2b0-5e3862d8dfe8_39_3_4,b10502ab-b410-49a4-b2b0-5e3862d8dfe8,39,,0.994,"{Nick,Carter,and,Sharna,Burgess,Audience,members,swooned,over,boy-band,member,"","",Nick,Carter,"","",and,so,did,the,judges,.}",Nick Carter,0,1,Sharna Burgess,3,4
7c1bb0f3-c78d-4d3d-8444-4f422ca02db0_4_1_1,7c1bb0f3-c78d-4d3d-8444-4f422ca02db0_4_3_3,7c1bb0f3-c78d-4d3d-8444-4f422ca02db0,4,,0.997,"{Both,Fen,and,Nell,see,Bankson,as,a,mediating,influence,.}",Fen,1,1,Nell,3,3
9478632d-c2c3-4ab4-bde4-5e3c76dfa219_1_0_0,9478632d-c2c3-4ab4-bde4-5e3c76dfa219_1_2_3,9478632d-c2c3-4ab4-bde4-5e3c76dfa219,1,,0.927,"{Michael,and,Lauren,McAfee,``,We,believe,that,when,the,Bible,has,been,properly,applied,to,life,"","",it,makes,the,world,a,better,place,...,Not,only,has,it,changed,the,world,in,the,past,"","",but,it,has,the,power,to,change,the,world,again,"","",today,.,''}",Michael,0,0,Lauren McAfee,2,3
ce014d5b-114c-4bab-8678-9f6361bbaa7c_3_17_17,ce014d5b-114c-4bab-8678-9f6361bbaa7c_3_15_15,ce014d5b-114c-4bab-8678-9f6361bbaa7c,3,,0.994,"{Ken,was,born,in,Kenmare,"","",N.D.,"","",on,Dec.,20,"","",1962,"","",to,Darwin,and,Jackie,-LRB-,Weaver,-RRB-,Beckedahl,.}",Jackie,17,17,Darwin,15,15
302a9024-3be0-49e8-a8e6-17289d749825_150_3_4,302a9024-3be0-49e8-a8e6-17289d749825_150_6_7,302a9024-3be0-49e8-a8e6-17289d749825,150,,0.983,"{___,5:40,p.m.,Jeb,Bush,and,Donald,Trump,are,mixing,it,up,over,big-money,donors,',influence,.}",Jeb Bush,3,4,Donald Trump,6,7
beb6507a-6acb-4c59-9608-443ac76c9c4f_37_24_24,beb6507a-6acb-4c59-9608-443ac76c9c4f_37_26_26,beb6507a-6acb-4c59-9608-443ac76c9c4f,37,,0.918,"{Donald,Trump,:,Megyn,Kelly,`,Blood,',Comment,`,Was,n't,Meant,',to,be,an,In,lt,August,10,"","",2015,http://www.today.com/news/donald-trump-megyn-kelly-blood-comment,Trump,derided,Kelly,'s,job,as,a,moderator,and,said,"","",``,You,could,see,there,was,blood,coming,out,of,her,eyes,"","",blood,coming,out,of,her,--,whatever,.,''}",Trump,24,24,Kelly,26,26
ced76bc2-2b67-4eae-916d-84edbfede6b9_4_31_32,ced76bc2-2b67-4eae-916d-84edbfede6b9_4_27_29,ced76bc2-2b67-4eae-916d-84edbfede6b9,4,,0.996,"{Continue,reading,n,New,additions,:,Koala,hospital,volunteer,Anne,Walsh,and,assistant,supervisor,Barbara,Barrett,with,two,of,the,three,koalas,they,rescued,from,Walcha,"","",Emerald,Hill,Rhonda,and,Guyra,Angus,.}",Guyra Angus,31,32,Emerald Hill Rhonda,27,29
e94a4c40-49d7-4f00-92ba-2b4511b33df4_3_4_5,e94a4c40-49d7-4f00-92ba-2b4511b33df4_3_0_2,e94a4c40-49d7-4f00-92ba-2b4511b33df4,3,,0.993,"{William,Smith,Jr.,and,James,Yates,"","",a,couple,for,nearly,a,decade,"","",were,the,first,to,receive,a,marriage,license,Friday,morning,in,Rowan,County,"","",ending,a,months-long,standoff,.}",James Yates,4,5,William Smith Jr.,0,2
9cc9fa09-6fae-4993-93ea-02f9b1b82eec_36_23_23,9cc9fa09-6fae-4993-93ea-02f9b1b82eec_36_25_25,9cc9fa09-6fae-4993-93ea-02f9b1b82eec,36,,0.982,"{Robot,does,call,into,question,who,is,real,and,who,is,not,"","",though,"","",and,that,brings,me,to,Prediction,Two,:,Angela,and,Shayla,are,one,and,the,same,.}",Angela,23,23,Shayla,25,25
128c606a-55f1-47a4-8c3f-745d81e8e954_12_9_10,128c606a-55f1-47a4-8c3f-745d81e8e954_12_12_13,128c606a-55f1-47a4-8c3f-745d81e8e954,12,,0.997,"{-LRB-,Reporting,By,Al-Zaquan,Amer,Hamzah,;,Editing,by,Praveen,Menon,and,Simon,Cameron-Moore,-RRB-}",Praveen Menon,9,10,Simon Cameron-Moore,12,13
2b34839d-f58c-408a-a121-1227efccb045_25_10_10,2b34839d-f58c-408a-a121-1227efccb045_25_12_12,2b34839d-f58c-408a-a121-1227efccb045,25,,0.97,"{Of,course,the,young,man,who,became,my,husband,"","",Pete,"","",Peter,"","",Robin,and,Ann,are,all,dead,now,--,leukaemia,"","",booze,"","",booze,"","",fags,and,bowel,cancer,respectively,--,but,in,those,days,we,never,gave,our,mortality,a,thought,and,burst,out,of,the,pub,door,"","",laughing,with,the,exuberance,of,careless,youth,as,we,staggered,slightly,in,the,still,"","",cold,night,air,oblivious,to,the,spectacle,we,made,.}",Pete,10,10,Peter,12,12
9972953d-7d59-4ae9-8341-a1c111c11cc5_6_2_2,9972953d-7d59-4ae9-8341-a1c111c11cc5_6_0_0,9972953d-7d59-4ae9-8341-a1c111c11cc5,6,,0.975,"{Lainey,and,Jake,ended,up,having,a,one,night,stand,"","",and,neither,really,moved,on,past,that,encounter,.}",Jake,2,2,Lainey,0,0
8c301aba-bdd7-4ce9-8cce-bc2673765624_100_25_25,8c301aba-bdd7-4ce9-8cce-bc2673765624_100_27_27,8c301aba-bdd7-4ce9-8cce-bc2673765624,100,,0.999,"{Thanks,to,the,show,'s,well-handled,twist,--,Slater,'s,character,is,actually,a,splinter,of,Elliot,himself,--,we,'re,meant,to,see,Mr.,Robot,and,Elliot,as,two,sides,of,t,same,coin,.}",Robot,25,25,Elliot,27,27
3bcd31bc-8d44-4b64-aeb3-87e55a97dc8a_9_9_9,3bcd31bc-8d44-4b64-aeb3-87e55a97dc8a_9_7_7,3bcd31bc-8d44-4b64-aeb3-87e55a97dc8a,9,,0.986,"{``,We,'re,very,pleased,to,have,Joel,and,Victoria,host,our,listeners,in,studio,on,October,5,for,what,will,be,a,very,special,and,enlightening,experience,both,for,those,in,the,room,"","",as,well,as,those,tuning,in,from,around,the,country,.,''}",Victoria,9,9,Joel,7,7
b67a73e0-8b30-46b0-bb55-41efbf8b4625_9_12_13,b67a73e0-8b30-46b0-bb55-41efbf8b4625_9_15_16,b67a73e0-8b30-46b0-bb55-41efbf8b4625,9,,0.997,"{She,was,preceded,in,death,by,her,parents,;,two,grandchildren,"","",Traci,Hiller,and,Heidi,Vogel,;,and,one,sister,"","",Katherine,Wood,.}",Traci Hiller,12,13,Heidi Vogel,15,16
fdc7b8ed-07a0-40d3-8477-2dbd685e6194_12_6_7,fdc7b8ed-07a0-40d3-8477-2dbd685e6194_12_9_10,fdc7b8ed-07a0-40d3-8477-2dbd685e6194,12,,0.981,"{As,three,divas,Lisa-Marie,Holmes,"","",Laura,Mansell,and,Catherine,Mort,belt,out,disco,anthems,with,great,verve,whilst,flying,above,the,stage,and,are,never,far,from,the,action,"","",rather,like,the,Three,Ladies,in,The,Magic,Flute,"","",but,more,fun,.}",Laura Mansell,6,7,Catherine Mort,9,10
c0c0cda4-22ae-4f04-96c2-22261be8b123_5_49_50,c0c0cda4-22ae-4f04-96c2-22261be8b123_5_46_47,c0c0cda4-22ae-4f04-96c2-22261be8b123,5,,0.964,"{It,was,the,second,highest-viewed,halftime,show,"","",behind,Katy,Perry,"","",who,grabbed,121,million,football,fans,earlier,this,y,r.,nIf,Bruno,does,perform,"","",he,'ll,be,one,of,four,artists,to,play,at,the,Super,Bowl,halftime,show,twice,"","",along,with,Gloria,Estefan,"","",Justin,Timberlake,"","",and,Nell,Super,Bowl,50,is,scheduled,to,take,place,February,7,"","",2016,.}",Justin Timberlake,49,50,Gloria Estefan,46,47
6d54a64b-c21d-4c9f-9083-a3c855cd1e42_8_5_6,6d54a64b-c21d-4c9f-9083-a3c855cd1e42_8_3_3,6d54a64b-c21d-4c9f-9083-a3c855cd1e42,8,,0.956,"{His,parents,"","",Eugene,and,Sarah,Kay,"","",preceded,him,in,death,.}",Sarah Kay,5,6,Eugene,3,3
dd8aff71-5701-4e26-846f-97a5f4ba45c2_7_17_18,dd8aff71-5701-4e26-846f-97a5f4ba45c2_7_14_15,dd8aff71-5701-4e26-846f-97a5f4ba45c2,7,,0.993,"{Along,with,his,parents,"","",Murl,was,preceded,in,death,by,his,siblings,"","",Herman,Shaffer,and,Mary,Daugherty,.}",Mary Daugherty,17,18,Herman Shaffer,14,15
8b49e2cc-65a7-4f5b-93bf-4c2628426821_2_11_14,8b49e2cc-65a7-4f5b-93bf-4c2628426821_2_6_9,8b49e2cc-65a7-4f5b-93bf-4c2628426821,2,,1,"{PHOTOS,:,Celeb,deaths,in,2015,Juan,Manuel,Gómez,Fernández,and,Juan,Manuel,Gómez,Monteverde,"","",the,dad,and,brother,of,Landry,'s,film,director,husband,"","",Alejandro,Monteverde,"","",were,found,dead,on,September,19,.}",Juan Manuel Gómez Monteverde,11,14,Juan Manuel Gómez Fernández,6,9
8abd053b-e51f-4494-9763-1444ce17faa0_116_2_2,8abd053b-e51f-4494-9763-1444ce17faa0_116_0_0,8abd053b-e51f-4494-9763-1444ce17faa0,116,,0.992,"{Peter,and,Paul,Saturday,morning,in,his,black,Fiat,after,landing,in,Philadelphia,from,New,York,.}",Paul,2,2,Peter,0,0
e6ebcdeb-2b8f-436f-8727-20285fed5354_325_3_4,e6ebcdeb-2b8f-436f-8727-20285fed5354_325_0_1,e6ebcdeb-2b8f-436f-8727-20285fed5354,325,,0.991,"{Daniel,Day-Lewis,and,Madeleine,Stowe,made,such,a,romantic,couple,in,Last,of,the,Mohicans,.}",Madeleine Stowe,3,4,Daniel Day-Lewis,0,1
59c9351d-1049-484c-aa51-9ead73e6f184_31_26_26,59c9351d-1049-484c-aa51-9ead73e6f184_31_24_24,59c9351d-1049-484c-aa51-9ead73e6f184,31,,0.997,"{INSIDE,LINEBACKER,-LRB-,5,-RRB-,C.J.,Mosley,Daryl,Smith,Albert,McClellan,Zachary,Orr,Arthur,Brown,Andrew,Bose,-LRB-,-LRB-,cut,-RRB-,The,play,of,Mosley,and,Smith,is,the,reason,why,no,one,has,ever,talked,about,the,Ravens,missing,Ray,Lewis,.}",Smith,26,26,Mosley,24,24
377150bf-9c56-429e-84b1-553757abd0eb_56_7_8,377150bf-9c56-429e-84b1-553757abd0eb_56_4_5,377150bf-9c56-429e-84b1-553757abd0eb,56,,0.99,"{Associated,Press,49ers,GM,Trent,Baalke,and,Jim,Harbaugh,in,happier,days,.}",Jim Harbaugh,7,8,Trent Baalke,4,5
a65d8237-dae4-4d13-af1f-003d173b3fa5_11_20_20,a65d8237-dae4-4d13-af1f-003d173b3fa5_11_22_22,a65d8237-dae4-4d13-af1f-003d173b3fa5,11,,0.996,"{Trump,is,the,first,choice,of,21,percent,of,Republican,primary,voters,...,followed,by,Carson,at,20,percent,and,Rubio,and,Fiorina,tied,at,11,percent,each,.}",Rubio,20,20,Fiorina,22,22
dca294b0-aba9-46a4-8b97-0e90909fb174_58_8_9,dca294b0-aba9-46a4-8b97-0e90909fb174_58_6_6,dca294b0-aba9-46a4-8b97-0e90909fb174,58,,0.976,"{The,groom,is,the,son,of,Ann,and,Lawrence,Lenzini,of,Newark,.}",Lawrence Lenzini,8,9,Ann,6,6
3365171b-4acb-44a9-b066-91687a3f6622_8_4_5,3365171b-4acb-44a9-b066-91687a3f6622_8_1_2,3365171b-4acb-44a9-b066-91687a3f6622,8,,0.996,"{``,Kaley,Cuoco,and,Ryan,Sweeting,have,mutually,decided,to,end,their,marriage,"","",'',Kaley,'s,rep,said,.}",Ryan Sweeting,4,5,Kaley Cuoco,1,2
6e20f18c-e560-4965-83fb-081bfc3f864e_10_0_1,6e20f18c-e560-4965-83fb-081bfc3f864e_10_3_4,6e20f18c-e560-4965-83fb-081bfc3f864e,10,,0.994,"{Ben,Affleck,and,Matt,Damon,-LRB-,Paul,A,Hebert/AP,-RRB-,He,also,recalled,a,funny,incident,in,London,while,walking,in,a,park,with,his,wife,.}",Ben Affleck,0,1,Matt Damon,3,4
4ed2ea04-03cf-4276-8491-6a19ea3e0e68_15_8_8,4ed2ea04-03cf-4276-8491-6a19ea3e0e68_15_19_20,4ed2ea04-03cf-4276-8491-6a19ea3e0e68,15,,0.947,"{Addressing,Jenner,'s,views,on,gay,marriage,"","",Lance,first,joked,about,her,appearance,Bass,and,his,husband,"","",Michael,Turchin,"","",are,the,first,gay,couple,to,get,married,on,TV,in,the,United,States,.}",Lance,8,8,Michael Turchin,19,20
02398a3c-d413-470b-bfe8-da717cc2d3a0_13_11_11,02398a3c-d413-470b-bfe8-da717cc2d3a0_13_9_9,02398a3c-d413-470b-bfe8-da717cc2d3a0,13,,0.938,"{Mary,was,always,a,hard,worker,and,retired,from,Thomas,&,Betts,after,26,years,of,service,.}",Betts,11,11,Thomas,9,9
ccf9c7fc-7cf8-4f39-90b2-866e6ca3144a_1_3_4,ccf9c7fc-7cf8-4f39-90b2-866e6ca3144a_1_0_1,ccf9c7fc-7cf8-4f39-90b2-866e6ca3144a,1,,0.995,"{Amy,Poehler,and,Nick,Kroll,are,splitting,up,after,two,years,of,dating,"","",Us,Weekly,reports,.}",Nick Kroll,3,4,Amy Poehler,0,1
e43ce00b-83e5-429d-a5f4-b60f6f09243c_30_2_2,e43ce00b-83e5-429d-a5f4-b60f6f09243c_30_0_0,e43ce00b-83e5-429d-a5f4-b60f6f09243c,30,,0.965,"{Zimmerman,and,Herrera,are,hoping,to,play,a,second,game,next,year,at,Moline,'s,Browning,Field,"","",where,the,Indies,played,their,last,season,in,the,NFL,.}",Herrera,2,2,Zimmerman,0,0
e53eff6c-98f7-47f4-92b3-28795ede5096_108_1_2,e53eff6c-98f7-47f4-92b3-28795ede5096_108_4_5,e53eff6c-98f7-47f4-92b3-28795ede5096,108,,0.999,"{The,Chang,Yi,and,Bai,Hu,tribes,may,not,be,as,all,powerful,as,before,in,Gao,Xing,"","",but,both,together,are,still,part,of,the,kingdom,'s,foundation,and,leaving,would,shake,the,very,core,of,Gao,Xing,.}",Chang Yi,1,2,Bai Hu,4,5
9e3a8943-61fc-4681-8c19-5655f10e6251_5_0_1,9e3a8943-61fc-4681-8c19-5655f10e6251_5_3_4,9e3a8943-61fc-4681-8c19-5655f10e6251,5,,0.995,"{Tom,Hardy,and,Emily,Browning,-LRB-,Jonathan,Brady/PA,-RRB-,She,admitted,she,had,no,prior,knowledge,of,the,Krays,before,signing,on,for,the,role,.}",Tom Hardy,0,1,Emily Browning,3,4
a9c4b1b3-34aa-42aa-9e37-fbd138d548ac_29_0_1,a9c4b1b3-34aa-42aa-9e37-fbd138d548ac_29_3_4,a9c4b1b3-34aa-42aa-9e37-fbd138d548ac,29,,0.99,"{Ted,Danson,and,Elisabeth,Shue,head,the,cast,for,this,15th,and,final,season,of,the,long-running,police,procedural,set,in,Las,Vegas,.}",Ted Danson,0,1,Elisabeth Shue,3,4
f07b10e4-e1f4-4332-8c68-5a2564debb28_8_1_1,f07b10e4-e1f4-4332-8c68-5a2564debb28_8_3_3,f07b10e4-e1f4-4332-8c68-5a2564debb28,8,,1,"{``,Arabella,and,Joseph,are,both,incredibly,excited,to,have,a,new,sibling,on,the,way,-LRB-,of,course,"","",Arabella,desperately,wants,a,baby,girl,"","",and,Joseph,hopes,it,'s,a,boy,!,-RRB-}",Arabella,1,1,Joseph,3,3
1ea54493-30a8-450d-a020-0abe4b2cf6e0_1_6_7,1ea54493-30a8-450d-a020-0abe4b2cf6e0_1_9_10,1ea54493-30a8-450d-a020-0abe4b2cf6e0,1,,0.997,"{The,husband,and,wife,team,of,Walter,Parkes,and,Laurie,MacDonald,are,well,respected,in,Hollywood,"","",especially,after,three,of,the,films,they,produced,won,consecutive,Best,Pictures,Oscars,--,American,Beauty,"","",Gladiator,and,A,Beautiful,Mind,.}",Walter Parkes,6,7,Laurie MacDonald,9,10
d9599dc9-8546-47bc-a064-4d53c92cb5e2_2_14_14,d9599dc9-8546-47bc-a064-4d53c92cb5e2_2_16_16,d9599dc9-8546-47bc-a064-4d53c92cb5e2,2,,0.997,"{Born,July,20,"","",1931,"","",in,Cincinnati,"","",she,was,the,daughter,of,Walter,and,Catherine,-LRB-,Meyer,-RRB-,Howell,.}",Walter,14,14,Catherine,16,16
94adac71-5acd-40c0-8dc1-85492ef972fb_66_3_4,94adac71-5acd-40c0-8dc1-85492ef972fb_66_6_7,94adac71-5acd-40c0-8dc1-85492ef972fb,66,,0.933,"{Nina,Williams,"","",Beau,Blanch,and,Mandy,Gilbert,from,Dungog,Shire,Community,Centre,in,Dungog,.}",Beau Blanch,3,4,Mandy Gilbert,6,7
38e45dd2-0dff-49c6-97b1-011f7578df47_5_28_28,38e45dd2-0dff-49c6-97b1-011f7578df47_5_30_30,38e45dd2-0dff-49c6-97b1-011f7578df47,5,,0.997,"{It,tells,the,story,of,estate,agent,Laurence,and,former,cosmetic,department,store,queen,turned,housewife,Beverly,who,have,organised,a,dinner,party,for,their,new,neighbours,"","",Angela,and,Tony,.}",Angela,28,28,Tony,30,30
92c4d476-30ba-4cd6-abc6-19cc62ca1706_1_34_35,92c4d476-30ba-4cd6-abc6-19cc62ca1706_1_31_32,92c4d476-30ba-4cd6-abc6-19cc62ca1706,1,,0.996,"{-LRB-,Jean-Luc,Godard,"","",1962,;,BFI,"","",15,"","",DVD/Blu-ray,-RRB-,The,films,that,announced,the,arrival,of,something,truly,novel,in,the,nouvelle,vague,were,the,feature,debuts,of,François,Truffaut,and,Jean-Luc,Godard,"","",Les,Quatres,cents,coups,-LRB-,1959,-RRB-,and,A,bout,de,souffle,-LRB-,1960,-RRB-,.}",Jean-Luc Godard,34,35,François Truffaut,31,32
d582ea33-7d1d-4b06-aa8a-4f7465a24b66_10_29_29,d582ea33-7d1d-4b06-aa8a-4f7465a24b66_10_27_27,d582ea33-7d1d-4b06-aa8a-4f7465a24b66,10,,0.993,"{Zephyr,is,the,missing,children,'s,half-brother,Not,the,first,abduction,attempt,According,to,legal,documents,obtained,from,Washington,"","",Ku,tried,to,leave,the,country,with,Sage,and,Isaac,once,before,:,June,12,"","",2013,.}",Isaac,29,29,Sage,27,27
0389cbfe-e27b-423c-9469-df90c12de014_18_0_0,0389cbfe-e27b-423c-9469-df90c12de014_18_2_2,0389cbfe-e27b-423c-9469-df90c12de014,18,,0.977,"{Stewart,and,Noah,then,had,a,chat,and,closed,with,a,bear,hug,.}",Stewart,0,0,Noah,2,2
d1d258ee-b16b-4a62-9670-e38e58c19fec_1_3_5,d1d258ee-b16b-4a62-9670-e38e58c19fec_1_1_1,d1d258ee-b16b-4a62-9670-e38e58c19fec,1,,0.993,"{REBEL,Wilson,and,Mickey,Gooch,Jr.,have,split,.}",Mickey Gooch Jr.,3,5,Wilson,1,1
bdc41515-e540-4a81-91d2-f12bf8804aa1_1_3_5,bdc41515-e540-4a81-91d2-f12bf8804aa1_1_0_1,bdc41515-e540-4a81-91d2-f12bf8804aa1,1,,0.994,"{Allison,Williams,and,Ricky,Van,Veen,got,married,in,a,ranch,wedding,on,Saturday,"","",Us,Weekly,reports,.}",Ricky Van Veen,3,5,Allison Williams,0,1
