relation_id,sentence_id,description,is_true,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
NYT_ENG_20070216.0094.LDC2009T13_646_11-NYT_ENG_20070216.0094.LDC2009T13_646_35,NYT_ENG_20070216.0094.LDC2009T13_646,Michael Richards-Britney Spears,f,"{Other,major,scoops,followed,"","",including,the,cellphone,camera,footage,of,Michael,Richards,',racist,rant,at,the,Laugh,Factory,"","",the,birth,certificate,of,Tom,Cruise,'s,kid,Suri,"","",and,the,breakup,of,Britney,Spears,and,Kevin,Federline,.}",11,2,35,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[Suri],""NGRAM_2_[Tom Cruise]"",NGRAM_1_[Cruise],""NGRAM_1_[,]""}","{-2.15061,2.03006,1.92146,-1.72647,-1.70257,-1.35882}"
1145@21_15-1145@21_26,1145@21,Madonna-Ben Affleck,f,"{This,kind,of,uxorious,collaboration,has,scary,precedents,:,Guy,Ritchie,directing,his,wife,"","",Madonna,"","",in,a,remake,of,``,Swept,Away,'',;,Ben,Affleck,starring,with,Jennifer,Lopez,in,``,Gigli,'',;,and,Brad,Hall,working,with,his,wife,"","",Julia,Louis-Dreyfus,"","",on,the,sitcom,``,Watching,Ellie,.,''}",15,1,26,2,2,"{NGRAM_1_[;],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NER_L_1_R_3_[O]_[O O PERSON]"",""NGRAM_1_[,]"",""LEMMA_L_1_R_1_[,]_[star]""}","{-2.97312,-2.15061,2.03006,-1.62449,-1.35882,-0.890228}"
NYT_ENG_20070423.0016.LDC2009T13_708_10-NYT_ENG_20070423.0016.LDC2009T13_708_25,NYT_ENG_20070423.0016.LDC2009T13_708,Marcus Griffin-Michael Griffin,f,"{Injuries,to,fellow,starters,"","",cornerback,Tarell,Brown,and,safety,Marcus,Griffin,"","",Michael,'s,twin,brother,"","",and,the,departure,of,Huff,"","",prompted,Michael,Griffin,to,get,away,from,his,game,.}",10,2,25,2,2,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[brother],""NGRAM_1_[,]"",""NGRAM_2_[and the]""}","{-2.20027,-2.15061,2.03006,-1.83191,-1.35882,1.1812}"
eng-WL-11-174572-12948024_104_26-eng-WL-11-174572-12948024_104_3,eng-WL-11-174572-12948024_104,Patricia Wettig-Michelle,f,"{If,you,notice,Michelle,bears,a,passing,resemblance,to,Holly,then,you,'re,on,to,something,because,the,actress,"","",Roxy,Olin,"","",is,daughter,to,Patricia,Wettig,and,Executive,Producer,-LRB-,and,co-star,-RRB-,Ken,Olin,.}",26,2,3,1,1,"{INV_KW_IND_[non_married],""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_NGRAM_1_[daughter],INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[actress]}","{-2.56873,-1.42472,1.17156,-1.15946,-1.149,1.05413}"
APW_ENG_20080825.0878.LDC2009T13_354_9-APW_ENG_20080825.0878.LDC2009T13_354_1,APW_ENG_20080825.0878.LDC2009T13_354,Barack Obama-Malia,f,"{Daughters,Malia,and,Sasha,tagged,along,"","",as,did,Barack,Obama,'s,sister,Maya,Soetoro-Ng,.}",9,2,1,1,1,"{INV_KW_IND_[non_married],INV_IN_DICT_[non_married]_[non_married],""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_3_R_1_[PERSON O O]_[O]"",INV_NGRAM_1_[and]}","{-2.56873,1.45838,-1.42472,-1.149,0.993231,-0.963997}"
APW_ENG_20071110.0750.LDC2009T13_709_18-APW_ENG_20071110.0750.LDC2009T13_709_22,APW_ENG_20071110.0750.LDC2009T13_709,Bobby Unser-Al Unser,f,"{Obama,was,rallying,with,five-time,Grammy,award-winning,musician,John,Legend,"","",while,Richardson,brought,out,race,car,drivers,Bobby,Unser,Sr.,and,Al,Unser,Sr.,.}",18,2,22,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[Sr.],""NGRAM_2_[Sr. and]"",""NER_L_3_R_1_[O O O]_[O]"",""NER_L_2_R_1_[O O]_[O]""}","{-2.15061,2.03006,-1.24377,-0.969518,0.488205,0.449467}"
1405@2_4-1405@2_10,1405@2,Bill Clinton-Jimmy Carter,f,"{Three,former,presidents,--,Bill,Clinton,"","",George,Bush,and,Jimmy,Carter,--,also,came,to,pay,their,final,respects,"","",accompanied,by,their,wives,"","",Sen.,Hillary,Rodham,Clinton,"","",D-N.Y.,;,Barbara,Bush,;,and,Rosalynn,Carter,.}",4,2,10,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""POS_SEQ_[, NNP NNP CC]"",NGRAM_1_[Bush],NGRAM_1_[George]}","{-2.15061,2.03006,-1.35882,-1.20682,-0.712351,-0.52449}"
APW_ENG_20070226.0104.LDC2009T13_370_3-APW_ENG_20070226.0104.LDC2009T13_370_31,APW_ENG_20070226.0104.LDC2009T13_370,Jimmie Johnson-Kurt Busch,f,"{Defending,Cup,champion,Jimmie,Johnson,"","",who,finished,39th,at,Daytona,"","",also,bounced,back,with,a,third-place,finish,Sunday,"","",followed,by,Burton,"","",Mark,Martin,"","",Clint,Bowyer,"","",Kurt,Busch,"","",Tony,Stewart,and,Kyle,Busch,.}",3,2,31,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""NER_L_1_R_2_[O]_[O PERSON]"",NGRAM_1_[by],""NER_L_1_R_3_[O]_[O PERSON PERSON]""}","{-2.15061,2.03006,-1.35882,-1.16971,-1.04255,-0.986927}"
APW_ENG_20070425.1768.LDC2009T13_278_29-APW_ENG_20070425.1768.LDC2009T13_278_23,APW_ENG_20070425.1768.LDC2009T13_278,Leonardo DiCaprio-Alicia Keys,f,"{Also,making,the,``,Beautiful,People,'',list,are,celebrity,do-gooders,Brad,Pitt,"","",Angelina,Jolie,"","",George,Clooney,"","",Oprah,Winfrey,"","",Alicia,Keys,"","",Sandra,Bullock,"","",Leonardo,DiCaprio,"","",Tyra,Banks,and,Nicole,Kidman,.}",29,2,23,2,2,"{""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_2_[PERSON PERSON O]_[O O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]"",""INV_LEMMA_L_3_R_1_[Oprah Winfrey ,]_[,]"",""INV_LEMMA_L_2_R_1_[Winfrey ,]_[,]""}","{-1.42472,-1.19671,-1.149,0.995178,0.99009,0.99009}"
AFP_ENG_20070427.0098.LDC2009T13_155_5-AFP_ENG_20070427.0098.LDC2009T13_155_14,AFP_ENG_20070427.0098.LDC2009T13_155,Brad Pitt-Leonardo DiCaprio,f,"{Others,on,the,list,include,Brad,Pitt,"","",George,Clooney,"","",Oprah,Winfrey,"","",Leonardo,DiCaprio,"","",Scarlett,Johansson,"","",Jennifer,Aniston,"","",Reese,Witherspoon,"","",Halle,Berry,and,Jennifer,Lopez,.}",5,2,14,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""NER_L_1_R_2_[O]_[O PERSON]"",""BETW_L_[dobj dobj]"",""NER_L_1_R_3_[O]_[O PERSON PERSON]""}","{-2.15061,2.03006,-1.35882,-1.16971,1.16527,-0.986927}"
LTW_ENG_20070202.0142.LDC2009T13_137_22-LTW_ENG_20070202.0142.LDC2009T13_137_0,LTW_ENG_20070202.0142.LDC2009T13_137,Valerie Plame-Libby,f,"{Libby,"","",56,"","",is,accused,of,lying,to,investigators,probing,whether,government,officials,illegally,disclosed,the,identity,of,CIA,arms-proliferation,specialist,Valerie,Plame,in,the,summer,of,2003,"","",soon,after,her,husband,"","",former,ambassador,Joseph,C.,Wilson,IV,"","",accused,the,Bush,administration,of,twisting,pre-war,intelligence,in,Iraq,.}",22,2,0,1,1,"{""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_BETW_L_[dep dep]"",INV_NGRAM_1_[CIA],INV_NGRAM_1_[whether],IS_INVERTED}","{-1.42472,-1.149,1.0885,-0.913177,-0.85776,0.57978}"
AFP_ENG_20080110.0772.LDC2009T13_337_3-AFP_ENG_20080110.0772.LDC2009T13_337_16,AFP_ENG_20080110.0772.LDC2009T13_337,Chen-Chiang Ching-kuo,f,"{Last,month,"","",Chen,'s,government,shut,down,the,mausoleums,of,Chiang,Kai-shek,and,his,son,Chiang,Ching-kuo,"","",citing,budgetary,concerns,and,a,lack,of,manpower,.}",3,1,16,2,2,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[son],""NGRAM_2_[he son]"",""NGRAM_3_[and he son]""}","{-2.20027,-2.15061,2.03006,-1.99866,-0.839784,-0.809176}"
NYT_ENG_20081013.0127.LDC2009T13_833_0-NYT_ENG_20081013.0127.LDC2009T13_833_14,NYT_ENG_20081013.0127.LDC2009T13_833,Reynolds-Scott King,f,"{Reynolds,has,worked,for,years,on,the,book,"","",which,weaves,interviews,and,Coretta,Scott,King,'s,personal,writings,into,a,ghostwritten,autobiography,in,Coretta,Scott,King,'s,own,words,.}",0,1,14,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""NGRAM_2_[, which]"",NGRAM_1_[for],""NER_L_3_R_1_[O O O]_[O]""}","{-2.15061,2.03006,-1.35882,-0.959965,-0.785042,0.488205}"
AFP_ENG_20080706.0022.LDC2009T13_64_0-AFP_ENG_20080706.0022.LDC2009T13_64_7,AFP_ENG_20080706.0022.LDC2009T13_64,Venus Williams-Serena Williams,f,"{Venus,Williams,-LRB-,USA,x7,-RRB-,bt,Serena,Williams,-LRB-,USA,x6,-RRB-,7-5,"","",6-4}",0,2,7,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[-rrb-],""NER_L_2_R_1_[O NUMBER]_[O]"",BETW_[nsubj],BETW_L_[nsubj],BETW_D_[nsubj]}","{-2.15061,-0.858951,-0.595777,-0.575394,-0.575394,-0.575394}"
134691@16_9-134691@16_0,134691@16,Zardari-Zardari,f,"{Zardari,'s,aides,have,promised,that,as,president,"","",Zardari,would,agree,to,the,elimination,of,a,constitutional,provision,that,allows,the,president,to,dismiss,Parliament,"","",long,considered,a,weak,institution,.}",9,1,0,1,1,"{""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_SEQ_[O O O O O O O O]"",""INV_NGRAM_2_[president ,]""}","{-1.42472,-1.22689,1.17156,-1.149,0.997779,0.996049}"
eng-WL-11-174595-12970756_692_0-eng-WL-11-174595-12970756_692_10,eng-WL-11-174595-12970756_692,David-Katie Holmes,f,"{David,and,Victoria,Beckham,joined,forces,with,Tom,Cruise,and,Katie,Holmes,to,try,and,steal,as,much,attention,from,the,other,attendees,as,they,could,...,tho,"","",I,think,the,sun,has,set,on,this,foursome,generating,all,that,much,excitement,...,and,to,be,honest,"","",I,'m,pretty,disappointed,at,what,Vicki,B.,and,Katie,wore,over,all,:}",0,1,10,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_2_[Tom Cruise]"",NGRAM_1_[Cruise],NGRAM_1_[join],""BETW_[dep : dep]""}","{-2.15061,2.03006,-1.72647,-1.70257,-1.12833,1.07798}"
NYT_ENG_20070409.0169.LDC2009T13_265_3-NYT_ENG_20070409.0169.LDC2009T13_265_31,NYT_ENG_20070409.0169.LDC2009T13_265,Eugenio Bava-Mario Bava,f,"{The,son,of,Eugenio,Bava,"","",a,cinematographer,whose,credits,go,back,to,Giovanni,Pastrone,'s,1914,``,Cabiria,"","",'',one,of,the,first,great,epics,of,Italian,cinema,"","",Mario,Bava,was,himself,a,successful,cinematographer,"","",with,a,reputation,for,saving,troubled,international,co-productions,"","",when,he,was,invited,to,direct,a,project,of,his,own,.}",3,2,31,2,2,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[go],LEMMA_L_1_R_1_[of]_[be],""NGRAM_1_[,]""}","{-2.20027,-2.15061,2.03006,2.02914,-1.69886,-1.35882}"
eng-NG-31-142891-10111007_828_28-eng-NG-31-142891-10111007_828_14,eng-NG-31-142891-10111007_828,Solomon-David,f,"{Per,Israel,Finkelstein,what,is,described,in,the,Bible,that,is,normally,ascribed,to,David,is,said,to,occur,in,the,mid,10th,century,and,the,buildings,by,Solomon,are,said,to,occur,in,the,early,9th,century,.}",28,1,14,1,1,"{""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]"",INV_NGRAM_1_[and],INV_NGRAM_1_[by]}","{-1.22689,1.17156,-1.149,0.995178,-0.963997,-0.962593}"
NYT_ENG_20080414.0172.LDC2009T13_951_44-NYT_ENG_20080414.0172.LDC2009T13_951_27,NYT_ENG_20080414.0172.LDC2009T13_951,Vanessa Paradis-Sarah,f,"{The,claustrophobic,setting,recalls,the,confined,locations,of,Clouzot,'s,film,:,In,place,of,an,abandoned,boarding,school,we,get,a,lonely,suburban,McMansion,"","",where,Sarah,-LRB-,Alysson,Paradis,"","",a,dark-haired,beauty,who,bears,little,resemblance,to,her,pop-star,sister,"","",Vanessa,Paradis,-RRB-,is,living,alone,after,the,death,of,her,husband,in,a,car,accident,.}",44,2,27,1,1,"{INV_KW_IND_[non_married],INV_NGRAM_1_[sister],""INV_NGRAM_1_[,]"",INV_NGRAM_1_[she],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]""}","{-2.56873,-1.44772,-1.42472,1.24168,-1.22689,1.17156}"
APW_ENG_20080918.0448.LDC2009T13_88_17-APW_ENG_20080918.0448.LDC2009T13_88_14,APW_ENG_20080918.0448.LDC2009T13_88,Mardy Fish-Mike Bryan,f,"{Spaniards,Fernando,Verdasco,and,Feliciano,Lopez,will,team,up,in,Saturday,'s,doubles,against,Mike,Bryan,and,Mardy,Fish,"","",who,is,filling,for,injured,Bob,Bryan,.}",17,2,14,2,2,"{INV_LEMMA_SEQ_[and],""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]"",INV_NGRAM_1_[and]}","{1.68884,-1.22689,1.17156,-1.149,0.995178,-0.963997}"
58165@0_6-58165@0_10,58165@0,John Edwards-Mitt Romney,f,"{Two,trailing,presidential,candidates,--,Democrat,John,Edwards,and,Republican,Mitt,Romney,--,on,Friday,pressed,their,competing,plans,to,extend,health,insurance,coverage,to,all,Americans,amid,nationwide,polls,showing,health,care,a,top,concern,in,the,2008,presidential,race,.}",6,2,10,2,2,"{STARTS_WITH_CAPITAL_[True_True],""NER_SEQ_[O MISC]"",""NER_L_3_R_2_[O O MISC]_[O O]"",""NER_L_2_R_2_[O MISC]_[O O]"",""NER_L_1_R_3_[MISC]_[O O DATE]"",""NGRAM_2_[and Republican]""}","{-2.15061,-0.713363,-0.639947,-0.639947,-0.430815,-0.418747}"
NYT_ENG_20071120.0096.LDC2009T13_33_2-NYT_ENG_20071120.0096.LDC2009T13_33_24,NYT_ENG_20071120.0096.LDC2009T13_33,Cate Blanchett-Michelle Williams,f,"{Starring,:,Cate,Blanchett,"","",Heath,Ledger,"","",Christian,Bale,"","",Richard,Gere,"","",Marcus,Carl,Franklin,"","",Ben,Whishaw,"","",Charlotte,Gainsbourg,"","",Michelle,Williams,"","",Julianne,Moore}",2,2,24,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""NER_L_1_R_2_[O]_[O PERSON]"",NGRAM_1_[Richard],""NER_L_3_R_1_[PERSON O O]_[O]""}","{-2.15061,2.03006,-1.35882,-1.16971,-1.08655,-1.04654}"
eng-WL-107-174567-12933668_61_4-eng-WL-107-174567-12933668_61_28,eng-WL-107-174567-12933668_61,Tom Cruise-Jennifer Garner,f,"{From,Katie,Holmes,and,Tom,Cruise,'s,Suri,"","",and,Gwen,Stefani,and,Gavin,Rossdales,',son,Kingston,"","",to,Tiger,Woods,',daughter,"","",Sam,"","",and,Jennifer,Garner,and,Ben,Affleck,'s,daughter,Violet,"","",you,'ll,find,the,cutest,pics,in,this,cover,story,!}",4,2,28,2,2,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[son],NGRAM_1_[Suri],LEMMA_L_1_R_1_[and]_[and]}","{-2.20027,-2.15061,2.03006,-1.99866,1.92146,-1.72326}"
APW_ENG_20080201.0294.LDC2009T13_1065_12-APW_ENG_20080201.0294.LDC2009T13_1065_24,APW_ENG_20080201.0294.LDC2009T13_1065,Diane Keaton-Stevie Wonder,f,"{Befitting,a,Hollywood,audience,"","",among,the,celebrities,in,the,theater,were,Diane,Keaton,"","",Jason,Alexander,"","",Pierce,Brosnan,"","",Rob,Reiner,"","",Stevie,Wonder,"","",Kate,Capshaw,"","",Steven,Spielberg,"","",Leonardo,DiCaprio,"","",Bradley,Whitford,and,Gary,Shandling,.}",12,2,24,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NER_SEQ_[O PERSON PERSON O PERSON PERSON O PERSON PERSON O]"",""NGRAM_1_[,]"",NGRAM_1_[Jason],""NER_L_1_R_2_[O]_[O PERSON]""}","{-2.15061,2.03006,-1.39384,-1.35882,-1.17204,-1.16971}"
AFP_ENG_20070708.0074.LDC2009T13_9_37-AFP_ENG_20070708.0074.LDC2009T13_9_6,AFP_ENG_20070708.0074.LDC2009T13_9,Robert Mugabe-Judith Todd,f,"{Veteran,human,rights,activist,and,author,Judith,Todd,"","",daughter,of,former,South,Rhodesia,prime,minister,Garfield,Todd,"","",said,in,an,interview,published,Monday,that,she,was,raped,by,a,Zimbabwean,army,officer,after,criticising,President,Robert,Mugabe,'s,regime,.}",37,2,6,2,2,"{INV_KW_IND_[non_married],""INV_NGRAM_1_[,]"",INV_NGRAM_1_[she],""INV_NGRAM_2_[, say]"",INV_NGRAM_1_[daughter],INV_STARTS_WITH_CAPITAL_[True_True]}","{-2.56873,-1.42472,1.24168,-1.23404,-1.15946,-1.149}"
APW_ENG_20070527.0119.LDC2009T13_86_23-APW_ENG_20070527.0119.LDC2009T13_86_20,APW_ENG_20070527.0119.LDC2009T13_86,Shakira-Marc Anthony,f,"{Salgado,"","",also,known,as,Estefano,"","",has,worked,with,Latin,music,stars,including,Gloria,Estefan,"","",Jennifer,Lopez,"","",Marc,Anthony,"","",Shakira,"","",Ricky,Martin,"","",Enrique,Iglesias,and,Julio,Iglesias,.}",23,1,20,2,2,"{""INV_NGRAM_1_[,]"",""INV_BETW_D_[prep_including star prep_including]"",""INV_BETW_[prep_including star prep_including]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_BETW_L_[prep_including prep_including]"",""INV_NER_L_1_R_3_[O]_[O PERSON PERSON]""}","{-1.42472,1.18088,1.18088,-1.149,-0.653614,-0.602702}"
153990@36_0-153990@36_16,153990@36,Patricia Blagojevich-Amy,f,"{Patricia,Blagojevich,told,Chicago,Parent,magazine,last,month,that,she,did,not,want,her,daughters,"","",Amy,"","",12,"","",and,Annie,"","",5,"","",to,go,into,politics,.}",0,2,16,1,1,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",NGRAM_1_[she],""NGRAM_2_[that she]""}","{-2.20027,-2.15061,2.03006,-1.35882,1.35843,1.16141}"
73800@22_22-73800@22_27,73800@22,Mukasey-Mukasey,f,"{Sen.,Joseph,Biden,"","",D-Del,"","",the,only,2008,Democratic,presidential,candidate,on,the,Senate,Judiciary,Committee,"","",said,his,decision,about,Mukasey,'s,confirmation,would,await,Mukasey,'s,response,to,a,letter,asking,for,clarification,over,whether,an,interrogation,technique,known,as,waterboarding,that,simulates,drowning,would,constitute,torture,that,was,prohibited,under,U.S.,law,.}",22,1,27,1,1,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[would],""NER_SEQ_[O O O O]"",""NER_L_3_R_1_[O O O]_[O]"",NGRAM_1_['s]}","{-2.15061,2.03006,-1.80738,0.61324,0.488205,-0.482314}"
eng-NG-31-141957-9978830_728_31-eng-NG-31-141957-9978830_728_21,eng-NG-31-141957-9978830_728,Christian Siriano-Rob Schneider,f,"{The,panel,of,judges,for,Friday,'s,pageant,included,Heather,Mills,"","",model,and,former,wife,of,Paul,McCartney,;,comedian,Rob,Schneider,;,Olympic,gold-medal,swimmer,Amanda,Beard,;,and,Christian,Siriano,"","",winner,of,Bravo,'s,fashion,reality,series,"","",``,Project,Runway,.,''}",31,2,21,2,2,"{INV_NGRAM_1_[;],""INV_NGRAM_2_[; and]"",""INV_NER_L_3_R_1_[PERSON O TITLE]_[O]"",""INV_NER_L_3_R_3_[PERSON O TITLE]_[O O O]"",INV_STARTS_WITH_CAPITAL_[True_True],INV_NER_L_1_R_1_[TITLE]_[O]}","{-3.37177,-1.80979,-1.32769,-1.23975,-1.149,1.05752}"
59970@35_25-59970@35_0,59970@35,Adam Sandler-Kelsey Grammer,f,"{Kelsey,Grammer,gave,$,""4,600"",to,Rudolph,W.,Giuliani,"","",the,former,mayor,of,New,York,"","",for,the,primary,and,general,election,"","",while,Adam,Sandler,gave,him,$,""2,100"",.}",25,2,0,2,2,"{""INV_NGRAM_1_[,]"",INV_NGRAM_1_[while],""INV_NGRAM_2_[, for]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]"",INV_NGRAM_1_[and]}","{-1.42472,-1.35471,-1.34844,-1.149,0.995178,-0.963997}"
133971@33_1-133971@33_13,133971@33,Palin-Palin,f,"{Mr.,Palin,acknowledged,that,he,met,with,the,commissioner,a,month,after,Ms.,Palin,'s,election,to,give,him,a,dossier,that,he,and,a,private,investigator,had,gathered,on,the,trooper,.}",1,1,13,1,1,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[meet],NGRAM_1_[with],NGRAM_1_[he],NGRAM_1_[after]}","{-2.15061,2.03006,1.28291,0.916859,0.786486,-0.734825}"
LTW_ENG_20070930.0004.LDC2009T13_136_17-LTW_ENG_20070930.0004.LDC2009T13_136_60,LTW_ENG_20070930.0004.LDC2009T13_136,Jay Leno-Rachael Ray,f,"{September,alone,saw,former,Tennessee,Sen.,Fred,Thompson,break,the,news,of,his,Republican,presidential,candidacy,to,Jay,Leno,"","",Sen.,Hillary,Rodham,Clinton,"","",D-N.Y.,"","",visit,a,diner,with,Ellen,DeGeneres,"","",Clinton,'s,husband,swap,healthy,eating,tips,with,Martha,Stewart,and,Elizabeth,Edwards,"","",the,wife,of,former,North,Carolina,Sen.,John,Edwards,"","",confide,in,Rachael,Ray,.}",17,2,60,2,2,"{NGRAM_1_[wife],NGRAM_1_[husband],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[Elizabeth],NGRAM_1_[Edwards]}","{5.01088,4.84841,-2.15061,2.03006,-1.97287,-1.48937}"
APW_ENG_20070724.1462.LDC2009T13_82_12-APW_ENG_20070724.1462.LDC2009T13_82_15,APW_ENG_20070724.1462.LDC2009T13_82,Sarah Silverman-Joshua Jackson,f,"{The,36-year-old,actor,--,along,with,Ben,Affleck,"","",Jennifer,Garner,"","",Sarah,Silverman,and,Joshua,Jackson,--,are,lending,star,power,to,a,new,campaign,aimed,at,putting,pressure,on,lawmakers,to,require,service,stations,to,sell,corn-based,ethanol,for,flexible-fuel,cars,.}",12,2,15,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""LEMMA_L_1_R_1_[,]_[--]"",LEMMA_SEQ_[and],""NER_L_3_R_2_[PERSON PERSON O]_[O O]"",""NER_L_2_R_1_[PERSON O]_[O]""}","{-2.15061,2.03006,-1.64701,1.56175,-0.979175,-0.905711}"
NYT_ENG_20080325.0185.LDC2009T13_8_35-NYT_ENG_20080325.0185.LDC2009T13_8_9,NYT_ENG_20080325.0185.LDC2009T13_8,Tony-Tony Parker,f,"{Last,year,"","",Pamela,Firestone,"","",the,mother,of,Tony,Parker,"","",the,San,Antonio,Spurs,point,guard,"","",went,rooting,through,her,home,in,Paris,and,dug,up,a,VHS,tape,of,a,9-year-old,Tony,on,a,Parisian,basketball,court,with,his,two,brothers,.}",35,1,9,2,2,"{INV_KW_IND_[non_married],INV_NGRAM_1_[Antonio],""INV_NGRAM_1_[,]"",INV_NGRAM_1_[she],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]""}","{-2.56873,1.47844,-1.42472,1.24168,-1.149,0.995178}"
