relation_id,sentence_id,description,is_true,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
22968@21_0-22968@21_7,22968@21,Jenna Fischer-Pam,f,"{Jenna,Fischer,"","",who,plays,the,downtrodden,Pam,on,``,The,Office,"","",'',is,a,bit,underused,as,the,bad,couple,'s,nice,"","",non-skating,sister,.}",0,2,7,1,1,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""BETW_L_[rcmod dobj]"",NGRAM_1_[play]}","{-2.20027,-2.15061,2.03006,-1.35882,1.35279,-0.865778}"
92111@2_0-92111@2_41,92111@2,Brenda Goodman-Bill Clinton,f,"{Brenda,Goodman,contributed,reporting,from,Atlanta,;,Katharine,Q.,Seelye,from,Charleston,"","",S.C.,;,and,Jeff,Zeleny,from,Columbia,"","",S.C.,Facing,formidable,support,for,Sen.,Barack,Obama,in,South,Carolina,"","",Sen.,Hillary,Rodham,Clinton,is,deploying,former,President,Bill,Clinton,there,while,she,shifts,her,attention,to,campaigning,in,states,with,nominating,contests,next,month,and,to,raising,money,.}",0,2,41,2,2,"{NGRAM_1_[;],""NGRAM_2_[; and]"",STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_2_[former President]"",""NGRAM_2_[Rodham Clinton]""}","{-2.97312,-2.70902,-2.15061,2.03006,1.82538,-1.36853}"
NYT_ENG_20070621.0196.LDC2009T13_148_21-NYT_ENG_20070621.0196.LDC2009T13_148_18,NYT_ENG_20070621.0196.LDC2009T13_148,Dan Futterman-Daniel Pearl,f,"{Based,on,Mariane,Pearl,'s,book,of,the,same,title,"","",the,film,opens,shortly,after,""9\\/11"",as,Daniel,Pearl,-LRB-,Dan,Futterman,-RRB-,"","",a,reporter,for,The,Wall,Street,Journal,based,in,Pakistan,"","",and,his,pregnant,wife,"","",Mariane,--,also,a,journalist,--,are,preparing,to,leave,the,country,.}",21,2,18,2,2,"{INV_STARTS_WITH_CAPITAL_[True_True],""INV_BETW_L_[dep dep]"",""INV_NER_L_1_R_2_[O]_[O O]"",INV_WORD_SEQ_[-LRB-],INV_LEMMA_SEQ_[-lrb-],INV_POS_SEQ_[-LRB-]}","{-1.149,1.0885,0.995178,-0.653546,-0.653546,-0.653546}"
AFP_ENG_20080704.0521.LDC2009T13_696_34-AFP_ENG_20080704.0521.LDC2009T13_696_36,AFP_ENG_20080704.0521.LDC2009T13_696,Madonna-Tom Cruise,f,"{The,final,section,of,the,museum,is,almost,all,international,"","",where,in,a,space,made,to,look,like,a,nightclub,you,can,pretend,you,are,mingling,with,Brad,Pitt,and,Angelina,Jolie,"","",Madonna,"","",Tom,Cruise,"","",Madonna,and,Nicole,Kidmann,.}",34,1,36,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""NER_L_1_R_2_[O]_[O PERSON]"",""NER_L_2_R_1_[PERSON O]_[O]"",""BETW_L_[prep_with prep_with]""}","{-2.15061,2.03006,-1.35882,-1.16971,-0.905711,0.838684}"
LTW_ENG_20081009.0103.LDC2009T13_29_22-LTW_ENG_20081009.0103.LDC2009T13_29_4,LTW_ENG_20081009.0103.LDC2009T13_29,Christie Brinkley-Barbara Walters,f,"{--,Peter,Cook,telling,Barbara,Walters,why,he,'s,blabbing,--,in,violation,of,a,confidentiality,agreement,--,about,his,divorce,from,Christie,Brinkley,-LRB-,``,I,wanted,a,little,acknowledgment,...,a,little,thank-you,every,now,and,then,for,my,efforts,'',-RRB-,"","",his,affair,with,a,teenage,employee,and,that,$,""3,000-a-month"",Internet,porn,addiction,.}",22,2,4,2,2,"{INV_NGRAM_1_[divorce],""INV_NER_L_3_R_2_[PERSON PERSON O]_[O O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_BETW_L_[dep dep]"",""INV_NGRAM_2_[divorce from]"",""INV_NER_L_1_R_2_[O]_[O O]""}","{2.05077,-1.19671,-1.149,1.0885,1.04721,0.995178}"
NYT_ENG_20071106.0117.LDC2009T13_34_3-NYT_ENG_20071106.0117.LDC2009T13_34_11,NYT_ENG_20071106.0117.LDC2009T13_34,Laila Ali-Muhammad Ali,f,"{That,'s,what,Laila,Ali,--,daughter,of,heavyweight,boxing,legend,Muhammad,Ali,--,knows,best,.}",3,2,11,2,2,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_2_[daughter of]"",NGRAM_1_[--],""BETW_D_[dep DICT_non_married prep_of]""}","{-2.20027,-2.15061,2.03006,-1.5664,-0.8974,-0.79795}"
29316@14_22-29316@14_19,29316@14,Ron Paul-John McCain,f,"{The,debate,will,feature,Sam,Brownback,"","",Jim,Gilmore,"","",Rudy,Giuliani,"","",Mike,Huckabee,"","",Duncan,Hunter,"","",John,McCain,"","",Ron,Paul,"","",Mitt,Romney,"","",Tom,Tancredo,and,Tommy,Thompson,.}",22,2,19,2,2,"{""INV_NGRAM_1_[,]"",""INV_BETW_L_[conj_and conj_and]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_BETW_D_[conj_and Brownback conj_and]"",""INV_BETW_[conj_and Brownback conj_and]"",""INV_NER_L_1_R_3_[O]_[O PERSON PERSON]""}","{-1.42472,-1.25409,-1.149,-0.63338,-0.63338,-0.602702}"
75175@21_35-75175@21_23,75175@21,Michelle Obama-Cindy McCain,f,"{Giuliani,did,not,take,part,in,a,conference,in,California,on,Oct.,23,with,the,spouses,of,five,other,presidential,candidates,"","",including,Cindy,McCain,"","",Jeri,Thompson,"","",Ann,Romney,"","",Elizabeth,Edwards,and,Michelle,Obama,.}",35,2,23,2,2,"{INV_NGRAM_1_[Elizabeth],""INV_NGRAM_1_[,]"",""INV_LEMMA_L_2_R_1_[, include]_[.]"",INV_NGRAM_1_[Edwards],""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True]}","{-1.51216,-1.42472,1.34682,-1.31647,1.17156,-1.149}"
153688@41_61-153688@41_33,153688@41,Alfred Hitchcock-Vivien Leigh,f,"{As,Greene,grew,increasingly,well,known,"","",these,letters,fill,with,plummy,celebrity,cameos,:,he,spends,time,on,a,boat,with,Laurence,Olivier,-LRB-,Greene,calls,him,``,Larry,'',-RRB-,and,Vivien,Leigh,;,there,are,late,nights,in,Havana,with,Fidel,Castro,in,the,1960s,;,he,has,his,fortune,told,by,Truman,Capote,;,he,visits,with,Alfred,Hitchcock,"","",Havel,and,Waugh,.}",61,2,33,2,2,"{INV_NGRAM_1_[;],INV_NGRAM_1_[with],INV_NGRAM_1_[there],""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_2_[he have]""}","{-3.37177,1.42247,-1.2585,1.17156,-1.149,-1.07426}"
eng-WL-11-174595-12968455_286_20-eng-WL-11-174595-12968455_286_17,eng-WL-11-174595-12968455_286,Carrie Underwood-Helen Mirren,f,"{The,movie,'s,stars,Amy,Adams,and,Patrick,Dempsey,were,joined,by,the,likes,of,celebs,like,Helen,Mirren,"","",Carrie,Underwood,"","",Idina,Menzel,and,her,hubby,Taye,Diggs,.}",20,2,17,2,2,"{""INV_NGRAM_1_[,]"",""INV_LEMMA_L_1_R_1_[like]_[,]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_BETW_L_[prep_like prep_like]"",""INV_NER_L_3_R_3_[O O O]_[O PERSON PERSON]""}","{-1.42472,-1.41501,1.17156,-1.149,0.977815,-0.722371}"
APW_ENG_20080825.0032.LDC2009T13_157_18-APW_ENG_20080825.0032.LDC2009T13_157_9,APW_ENG_20080825.0032.LDC2009T13_157,Angelina Jolie-Cate Blanchett,f,"{Brad,Pitt,reunites,with,old,pals,George,Clooney,and,Cate,Blanchett,in,two,films,"","",Clint,Eastwood,directs,Angelina,Jolie,in,one,drama,and,himself,in,another,"","",and,Oliver,Stone,takes,on,his,latest,president,with,a,George,W.,Bush,biopic,.}",18,2,9,2,2,"{""INV_NGRAM_1_[,]"",INV_LEMMA_L_1_R_1_[and]_[in],INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[direct],""INV_NER_L_2_R_3_[PERSON O]_[O NUMBER O]"",""INV_NER_L_2_R_2_[PERSON O]_[O NUMBER]""}","{-1.42472,-1.27891,-1.149,-0.988562,-0.96567,-0.96567}"
eng-WL-11-174597-12966054_31_6-eng-WL-11-174597-12966054_31_11,eng-WL-11-174597-12966054_31,Jessica Biel-Jennifer Lopez,f,"{This,time,around,she,photographed,:,Jessica,Biel,as,Pocahontas,"","",Jennifer,Lopez,as,Jasmine,"","",Marc,Anthony,as,Aladdin,"","",Gisele,Bundchen,as,Wendy,Darling,"","",Tina,Fey,as,Tinkerbell,"","",and,Mikhail,Baryshnikov,as,Peter,Pan,.}",6,2,11,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",NGRAM_1_[as],""NER_L_1_R_2_[O]_[O PERSON]"",""NER_L_2_R_3_[O O]_[O PERSON O]""}","{-2.15061,2.03006,-1.35882,-1.19216,-1.16971,-1.02431}"
AFP_ENG_20081016.0768.LDC2009T13_550_0-AFP_ENG_20081016.0768.LDC2009T13_550_6,AFP_ENG_20081016.0768.LDC2009T13_550,Madonna-Madonna Louise Ciccone,f,"{Madonna,--,her,full,name,is,Madonna,Louise,Ciccone,--,was,previously,married,to,US,actor,Sean,Penn,from,1985,to,1989,.}",0,1,6,3,3,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[she],NGRAM_1_[name],NGRAM_1_[--],LEMMA_L_1_R_1_[.]_[--]}","{-2.15061,2.03006,1.35843,-1.19429,-0.8974,-0.896885}"
135683@30_2-135683@30_50,135683@30,George Clooney-Elizabeth Marvel,f,"{WITH,:,George,Clooney,-LRB-,Harry,Pfarrer,-RRB-,"","",Frances,McDormand,-LRB-,Linda,Litzke,-RRB-,"","",Brad,Pitt,-LRB-,Chad,Feldheimer,-RRB-,"","",John,Malkovich,-LRB-,Osborne,Cox,-RRB-,"","",Tilda,Swinton,-LRB-,Katie,Cox,-RRB-,"","",Richard,Jenkins,-LRB-,Ted,-RRB-,"","",CIA,Superior,-LRB-,J.K.,Simmons,-RRB-,and,Elizabeth,Marvel,-LRB-,Sandy,Pfarrer,-RRB-,.}",2,2,50,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",NGRAM_1_[Katie],""NER_L_1_R_2_[O]_[O PERSON]"",""NGRAM_2_[-rrb- ,]""}","{-2.15061,2.03006,-1.35882,-1.33625,-1.16971,-1.08955}"
AFP_ENG_20070924.0282.LDC2009T13_45_34-AFP_ENG_20070924.0282.LDC2009T13_45_42,AFP_ENG_20070924.0282.LDC2009T13_45,Marine Le Pen-Jean-Marie Le Pen,f,"{``,It,is,the,responsibility,of,the,FN,--,which,seems,to,be,France,'s,only,opposition,force,--,to,open,the,eyes,of,our,fellow,citizens,"","",'',said,party,vice,-,president,Marine,Le,Pen,"","",daughter,of,its,leader,Jean-Marie,Le,Pen,.}",34,3,42,3,3,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],""NER_SEQ_[O O O O TITLE]"",NER_L_1_R_1_[TITLE]_[O],""NGRAM_2_[daughter of]"",""NGRAM_1_[,]""}","{-2.20027,-2.15061,2.00825,1.86495,-1.5664,-1.35882}"
NYT_ENG_20070511.0090.LDC2009T13_247_8-NYT_ENG_20070511.0090.LDC2009T13_247_46,NYT_ENG_20070511.0090.LDC2009T13_247,Darlene Mowry-Tahj Mowry,f,"{Deliciously,blunt,and,honest,when,she,speaks,"","",Darlene,Mowry,has,her,hands,full,managing,the,careers,of,her,twin,daughters,"","",who,got,their,TV,start,on,the,separated-at-birth,sitcom,``,Sister,"","",Sister,'',and,her,son,"","",the,twins,',younger,brother,"","",Tahj,Mowry,-LRB-,``,Smart,Guy,'',-RRB-,.}",8,2,46,2,2,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[son],NGRAM_1_[brother],NGRAM_1_[they]}","{-2.20027,-2.15061,2.03006,-1.99866,-1.83191,-1.50849}"
eng-WL-11-174573-12960293_5670_20-eng-WL-11-174573-12960293_5670_15,eng-WL-11-174573-12960293_5670,Leona McCauley-Rosa Parks,f,"{Later,that,year,"","",at,the,urging,of,her,younger,brother,Sylvester,"","",Raymond,and,Rosa,Parks,and,her,mother,Leona,McCauley,moved,to,Detroit,"","",Michigan,.}",20,2,15,2,2,"{INV_KW_IND_[non_married],""INV_BETW_L_[conj_and conj_and]"",INV_NGRAM_1_[she],""INV_NER_L_1_R_3_[O]_[O O CITY]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]""}","{-2.56873,-1.25409,1.24168,1.16433,-1.149,0.995178}"
38947@0_49-38947@0_43,38947@0,Leslie Mann-Katherine Heigl,f,"{TRUE,LOVE,"","",FAMILY,VALUES,ALIVE,IN,`,KNOCKED,UP,',IN,-LCB-,LSQUO,-RCB-,KNOCKED,UP,"","",',FAMILY,VALUES,GET,A,TWIST,MISMATCHPRODUCESLAUGHS,AND,LOVE,SURPRISEFAMILY,LOVE,Knocked,Up,Written,and,directed,by,:,Judd,Apatow,Starring,:,Seth,Rogen,"","",Katherine,Heigl,"","",Paul,Rudd,"","",Leslie,Mann,Running,time,:,129,minutes,Rated,:,R,-LRB-,Sexual,content,"","",drug,use,"","",language,-RRB-,``,The,40-Year-Old,Virgin,'',and,his,new,``,Knocked,Up,'',make,writer,-,director,Judd,Apatow,today,'s,preeminent,creator,of,low-concept,sex,comedies,.}",49,2,43,2,2,"{""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_2_[PERSON PERSON O]_[O O]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_L_1_R_2_[O]_[O O]"",INV_NGRAM_1_[Paul],""INV_NER_L_2_R_2_[PERSON O]_[O O]""}","{-1.42472,-1.19671,-1.149,0.995178,-0.69169,-0.603476}"
APW_ENG_20080122.0751.LDC2009T13_311_7-APW_ENG_20080122.0751.LDC2009T13_311_32,APW_ENG_20080122.0751.LDC2009T13_311,Paul Thomas Anderson-Tony Gilroy,f,"{The,nominees,for,best,director,were,:,Paul,Thomas,Anderson,"","",``,There,Will,Be,Blood,'',;,Ethan,Coen,and,Joel,Coen,"","",``,No,Country,for,Old,Men,'',;,Tony,Gilroy,"","",``,Michael,Clayton,'',;,Jason,Reitman,"","",``,Juno,'',;,and,Julian,Schnabel,"","",``,The,Diving,Bell,and,the,Butterfly,.,''}",7,3,32,2,2,"{NGRAM_1_[;],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""LEMMA_L_1_R_2_[:]_[, ``]"",""NER_L_1_R_3_[O]_[O O PERSON]"",""NGRAM_1_[,]""}","{-2.97312,-2.15061,2.03006,-1.65332,-1.62449,-1.35882}"
NYT_ENG_20070414.0059.LDC2009T13_709_11-NYT_ENG_20070414.0059.LDC2009T13_709_17,NYT_ENG_20070414.0059.LDC2009T13_709,Mary-Debbie Reynolds,f,"{Nelson,'s,movie,credits,also,include,the,1963,adaptation,of,``,Mary,"","",Mary,"","",'',with,Debbie,Reynolds,in,the,Barbara,Bel,Geddes,role,"","",and,the,1970,disaster,film,``,Airport,"","",'',in,which,he,played,an,airline,captain,.}",11,1,17,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NER_L_1_R_3_[O]_[O O PERSON]"",NGRAM_1_[Mary],""NER_SEQ_[O PERSON O O O]"",""NGRAM_1_[,]""}","{-2.15061,2.03006,-1.62449,-1.44685,-1.40979,-1.35882}"
XIN_ENG_20071017.0015.LDC2009T13_199_17-XIN_ENG_20071017.0015.LDC2009T13_199_21,XIN_ENG_20071017.0015.LDC2009T13_199,Nicole-Stephanie,f,"{``,On,behalf,of,this,house,I,wish,to,pass,on,our,deepest,condolences,to,his,wife,Nicole,and,their,daughters,Stephanie,and,Hannah,"","",the,love,and,center,of,his,life,"","",'',she,said,.}",17,1,21,1,1,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[they],""NER_L_1_R_2_[O]_[O PERSON]"",""NGRAM_2_[and they]""}","{-2.20027,-2.15061,2.03006,-1.50849,-1.16971,-1.02707}"
60823@31_29-60823@31_9,60823@31,Elmore Leonard-James Mangold,f,"{PRODUCTION,NOTES,',3:10,TO,YUMA,',Directed,by,James,Mangold,;,written,by,Halsted,Welles,"","",Michael,Brandt,and,Derek,Haas,"","",based,on,a,short,story,by,Elmore,Leonard,;,director,of,photography,"","",Phedon,Papamichael,;,edited,by,Michael,McCusker,;,music,by,Marco,Beltrami,;,production,designer,"","",Andrew,Menzies,;,produced,by,Cathy,Konrad,;,released,by,Lionsgate,.}",29,2,9,2,2,"{INV_NGRAM_1_[;],""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_2_[O O O]_[O O]"",INV_NGRAM_1_[Michael],""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True]}","{-3.37177,-1.42472,-1.22689,-1.20088,1.17156,-1.149}"
APW_ENG_20080922.1406.LDC2009T13_99_36-APW_ENG_20080922.1406.LDC2009T13_99_19,APW_ENG_20080922.1406.LDC2009T13_99,Katharine Hepburn-Nancy Sinatra,f,"{The,press,knew,nothing,about,their,relationship,and,neither,did,most,of,Hollywood,"","",except,for,such,friends,as,Nancy,Sinatra,"","",the,first,wife,of,Frank,Sinatra,;,and,Spencer,Tracy,"","",whose,bond,with,Katharine,Hepburn,was,the,ultimate,show,business,secret,.}",36,2,19,2,2,"{INV_NGRAM_1_[wife],INV_NGRAM_1_[;],""INV_NGRAM_2_[; and]"",""INV_NGRAM_2_[wife of]"",""INV_NGRAM_1_[,]"",INV_NGRAM_1_[with]}","{3.74889,-3.37177,-1.80979,1.43337,-1.42472,1.42247}"
NYT_ENG_20070323.0198.LDC2009T13_151_4-NYT_ENG_20070323.0198.LDC2009T13_151_13,NYT_ENG_20070323.0198.LDC2009T13_151,June Collison-Darren Collison,f,"{Now,"","",she,is,June,Collison,"","",the,mother,of,UCLA,point,guard,Darren,Collison,"","",who,will,start,in,the,West,Regional,final,Saturday,against,Kansas,.}",4,2,13,2,2,"{""BETW_D_[appos DICT_non_married prep_of]"",KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""BETW_L_[appos prep_of]""}","{-3.08534,-2.20027,-2.15061,2.03006,-1.35882,1.13883}"
NYT_ENG_20071029.0305.LDC2009T13_968_17-NYT_ENG_20071029.0305.LDC2009T13_968_24,NYT_ENG_20071029.0305.LDC2009T13_968,Conway Twitty-George Jones,f,"{The,two,are,seen,as,the,forerunners,of,other,country,duets,like,those,of,Loretta,Lynn,and,Conway,Twitty,"","",and,Tammy,Wynette,and,George,Jones,.}",17,2,24,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""BETW_[conj_and Lynn conj_and]"",""BETW_D_[conj_and Lynn conj_and]"",LEMMA_L_1_R_1_[and]_[.],""NGRAM_1_[,]""}","{-2.15061,2.03006,1.79802,1.79802,1.49832,-1.35882}"
95208@7_40-95208@7_31,95208@7,John McCain-Mike Murphy,f,"{On,``,Meet,the,Press,'',on,Sunday,"","",viewers,instead,met,the,strategists,:,Robert,Shrum,"","",a,Democratic,consultant,and,Sen.,John,Kerry,'s,senior,strategist,in,2004,;,Mike,Murphy,"","",a,consultant,who,worked,for,Sen.,John,McCain,in,2004,;,Mary,Matalin,"","",who,worked,for,President,Bush,and,Vice,President,Dick,Cheney,;,and,her,husband,"","",James,Carville,"","",an,adviser,to,President,Bill,Clinton,.}",40,2,31,2,2,"{""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NER_SEQ_[O O O O O O O]"",""INV_NER_L_2_R_1_[DATE O]_[O]"",IS_INVERTED,INV_NGRAM_1_[work]}","{-1.42472,-1.149,0.972141,0.669548,0.57978,-0.574877}"
APW_ENG_20070806.0870.LDC2009T13_401_27-APW_ENG_20070806.0870.LDC2009T13_401_30,APW_ENG_20070806.0870.LDC2009T13_401,Barbara Walters-Conan O'Brien,f,"{Other,high-profile,New,Yorkers,who,have,been,called,to,serve,over,the,years,include,Spike,Lee,"","",Woody,Allen,"","",Sarah,Jessica,Parker,"","",Matthew,Broderick,"","",Barbara,Walters,"","",Conan,O'Brien,"","",news,anchor,Ann,Curry,"","",singer,Roseanne,Cash,"","",sex,therapist,Dr.,Ruth,Westheimer,and,Eliot,Spitzer,"","",before,he,became,governor,.}",27,2,30,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""NER_L_3_R_2_[PERSON PERSON O]_[O O]"",""NER_L_2_R_1_[PERSON O]_[O]"",""BETW_L_[dep dep]""}","{-2.15061,2.03006,-1.35882,-0.979175,-0.905711,0.727786}"
APW_ENG_20070121.0394.LDC2009T13_119_0-APW_ENG_20070121.0394.LDC2009T13_119_3,APW_ENG_20070121.0394.LDC2009T13_119,Bob Bryan-Mike Bryan,f,"{Bob,Bryan,and,Mike,Bryan,-LRB-,1,-RRB-,"","",United,States,"","",vs.,Wesley,Moodie,"","",South,Africa,"","",and,Todd,Perry,-LRB-,13,-RRB-,"","",Australia}",0,2,3,2,2,"{STARTS_WITH_CAPITAL_[True_True],LEMMA_SEQ_[and],POS_SEQ_[CC],NER_SEQ_[O],WORD_SEQ_[and],NGRAM_1_[and]}","{-2.15061,1.56175,0.724491,0.474,0.472517,-0.32671}"
APW_ENG_20080704.1108.LDC2009T13_461_12-APW_ENG_20080704.1108.LDC2009T13_461_54,APW_ENG_20080704.1108.LDC2009T13_461,Donald Trump-Donald,f,"{The,public,also,had,a,front-row,seat,to,the,marital,breakups,of,Donald,Trump,"","",first,from,Ivana,in,1988,and,then,again,nearly,a,decade,later,after,a,""31\\/2"",-,year,marriage,to,actress,Marla,Maples,"","",--,who,"","",the,New,York,Post,said,"","",had,bragged,to,a,friend,that,the,Donald,was,``,the,best,sex,I,ever,had,.,''}",12,2,54,1,1,"{NGRAM_1_[marriage],""NGRAM_2_[marriage to]"",STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[friend],LEMMA_L_1_R_1_[of]_[be]}","{2.28325,2.15837,-2.15061,2.03006,-1.76153,-1.69886}"
eng-WL-107-174567-12933663_32_29-eng-WL-107-174567-12933663_32_40,eng-WL-107-174567-12933663_32,Nicky-David Foster,f,"{Wort,out,is,that,she,has,officially,broken,the,seal,on,her,party,cap,"","",as,she,hit,Les,Deux,on,Friday,night,fro,some,girl,time,with,sister,Nicky,and,her,friend,Erin,Foster,-LRB-,daughter,of,music,producer,David,Foster,-RRB-,.}",29,1,40,2,2,"{KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[TITLE]_[O],NGRAM_1_[friend],""NGRAM_2_[daughter of]"",NGRAM_1_[she]}","{-2.20027,-2.15061,1.86495,-1.76153,-1.5664,1.35843}"
APW_ENG_20070824.0444.LDC2009T13_368_10-APW_ENG_20070824.0444.LDC2009T13_368_0,APW_ENG_20070824.0444.LDC2009T13_368,Salim Khan-Salman Khan,f,"{Salman,Khan,"","",the,eldest,son,of,famous,Bollywood,scriptwriter,Salim,Khan,"","",became,a,household,name,with,his,second,film,``,Maine,Pyar,Kiya,"","",'',or,``,I,Have,Loved,'',in,1989,"","",followed,by,one,of,the,biggest,hits,of,the,1990s,"","",``,Hum,Aapke,Hain,Kaun,"","",'',or,``,What,Am,I,To,You,.,''}",10,2,0,2,2,"{INV_KW_IND_[non_married],INV_NGRAM_1_[son],""INV_NGRAM_2_[son of]"",""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]""}","{-2.56873,-1.94523,-1.7155,-1.42472,-1.22689,1.17156}"
NYT_ENG_20080302.0020.LDC2009T13_519_32-NYT_ENG_20080302.0020.LDC2009T13_519_20,NYT_ENG_20080302.0020.LDC2009T13_519,John-Mike Todd,f,"{At,its,peak,"","",Acapulco,was,a,haunt,of,Frank,Sinatra,and,the,Rat,Pack,"","",where,Elizabeth,Taylor,married,Mike,Todd,-LRB-,the,third,of,her,eight,weddings,-RRB-,"","",and,John,and,Jacqueline,Kennedy,headed,for,their,honeymoon,-LRB-,as,did,a,young,Bill,and,Hillary,Clinton,-RRB-,.}",32,1,20,2,2,"{""INV_NGRAM_1_[,]"",INV_NGRAM_1_[wedding],INV_NGRAM_1_[she],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_2_[of she]"",""INV_BETW_L_[dep dep]""}","{-1.42472,1.34721,1.24168,-1.149,1.13873,1.0885}"
40565@35_8-40565@35_17,40565@35,Jimmy LaFave-Jimmy LaFave,f,"{-,Joe,Gross,"","",Austin,American-Statesman,Artist,:,Jimmy,LaFave,CD,title,:,``,Cimarron,Manifesto,'',Jimmy,LaFave,'s,been,around,long,enough,to,know,that,you,always,lead,with,your,strongest,stuff,"","",and,the,opening,trio,of,``,Car,Outside,"","",'',a,dreamy,refocusing,of,Donovan,'s,``,Catch,the,Wind,'',and,the,political,``,This,Land,"","",'',in,which,the,Woody,Guthrie,acolyte,asks,for,his,country,back,"","",gets,this,greyhound,sprinting,.}",8,2,17,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],NGRAM_1_[:],LEMMA_L_1_R_1_[:]_['s],NGRAM_1_[``],NGRAM_1_['']}","{-2.15061,2.03006,-1.06111,0.774301,-0.606313,0.545854}"
eng-WL-11-174583-12935518_60_29-eng-WL-11-174583-12935518_60_0,eng-WL-11-174583-12935518_60,Oprah Winfrey-Ellen,f,"{Ellen,and,Portia,received,31,%,of,the,vote,"","",nine,points,above,runner-up,Jennifer,Aniston,"","",followed,by,Rachael,Ray,"","",Angelina,Jolie,and,Brad,Pitt,"","",and,Oprah,Winfrey,.}",29,2,0,1,1,"{INV_LEMMA_L_1_R_1_[.]_[.],INV_NGRAM_1_[Jennifer],""INV_NGRAM_1_[,]"",INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[and],INV_NGRAM_1_[by]}","{2.46408,-1.63074,-1.42472,-1.149,-0.963997,-0.962593}"
