person1_id,person2_id,sentence_id,description,is_true,relation_id,id
LTW_ENG_20081224.0072.LDC2009T13_351_25,LTW_ENG_20081224.0072.LDC2009T13_351_22,LTW_ENG_20081224.0072.LDC2009T13_351,Amy Madigan-Josh Lucas,f,LTW_ENG_20081224.0072.LDC2009T13_351_25-LTW_ENG_20081224.0072.LDC2009T13_351_22,213581
APW_ENG_20070321.1473.LDC2009T13_82_29,APW_ENG_20070321.1473.LDC2009T13_82_20,APW_ENG_20070321.1473.LDC2009T13_82,Brigitte Bardot-Heather Mills,f,APW_ENG_20070321.1473.LDC2009T13_82_29-APW_ENG_20070321.1473.LDC2009T13_82_20,282130
LTW_ENG_20070212.0059.LDC2009T13_99_25,LTW_ENG_20070212.0059.LDC2009T13_99_64,LTW_ENG_20070212.0059.LDC2009T13_99,Duff McKagan-Ciara,f,LTW_ENG_20070212.0059.LDC2009T13_99_25-LTW_ENG_20070212.0059.LDC2009T13_99_64,173091
NYT_ENG_20070704.0061.LDC2009T13_48_32,NYT_ENG_20070704.0061.LDC2009T13_48_29,NYT_ENG_20070704.0061.LDC2009T13_48,Danny Bonaduce-Ryan O'Neal,f,NYT_ENG_20070704.0061.LDC2009T13_48_32-NYT_ENG_20070704.0061.LDC2009T13_48_29,94105
NYT_ENG_20070128.0025.LDC2009T13_717_62,NYT_ENG_20070128.0025.LDC2009T13_717_22,NYT_ENG_20070128.0025.LDC2009T13_717,Robin Yount-Nolan Ryan,f,NYT_ENG_20070128.0025.LDC2009T13_717_62-NYT_ENG_20070128.0025.LDC2009T13_717_22,131650
APW_ENG_20080911.0269.LDC2009T13_432_27,APW_ENG_20080911.0269.LDC2009T13_432_15,APW_ENG_20080911.0269.LDC2009T13_432,Janet Jackson-Elton John,f,APW_ENG_20080911.0269.LDC2009T13_432_27-APW_ENG_20080911.0269.LDC2009T13_432_15,91518
38625@43_44,38625@43_53,38625@43,Seth Rogen-Leslie Mann,f,38625@43_44-38625@43_53,158959
eng-NG-31-142091-9996501_516_35,eng-NG-31-142091-9996501_516_20,eng-NG-31-142091-9996501_516,George Harrison-Paul McCartney,f,eng-NG-31-142091-9996501_516_35-eng-NG-31-142091-9996501_516_20,225752
APW_ENG_20080206.1663.LDC2009T13_406_3,APW_ENG_20080206.1663.LDC2009T13_406_16,APW_ENG_20080206.1663.LDC2009T13_406,Ellen Pompeo-Eric Dane,f,APW_ENG_20080206.1663.LDC2009T13_406_3-APW_ENG_20080206.1663.LDC2009T13_406_16,149283
eng-WL-110-174612-12993636_115_53,eng-WL-110-174612-12993636_115_51,eng-WL-110-174612-12993636_115,Angie Stone-Mashonda,f,eng-WL-110-174612-12993636_115_53-eng-WL-110-174612-12993636_115_51,241242
eng-WL-11-174595-12967366_914_8,eng-WL-11-174595-12967366_914_5,eng-WL-11-174595-12967366_914,Jason Alexander-Britney Spears,f,eng-WL-11-174595-12967366_914_8-eng-WL-11-174595-12967366_914_5,165775
82383@25_114,82383@25_79,82383@25,Gene Wilder-Merle Haggard,f,82383@25_114-82383@25_79,277263
eng-WL-107-174567-12933477_82_15,eng-WL-107-174567-12933477_82_2,eng-WL-107-174567-12933477_82,Justin Timberlake-Katherine Heigl,f,eng-WL-107-174567-12933477_82_15-eng-WL-107-174567-12933477_82_2,209054
eng-WL-11-174588-12938737_9790_15,eng-WL-11-174588-12938737_9790_4,eng-WL-11-174588-12938737_9790,Joan-Tom Cruise,f,eng-WL-11-174588-12938737_9790_15-eng-WL-11-174588-12938737_9790_4,148535
NYT_ENG_20081121.0047.LDC2009T13_1539_48,NYT_ENG_20081121.0047.LDC2009T13_1539_63,NYT_ENG_20081121.0047.LDC2009T13_1539,Irene-Gerald McRaney,f,NYT_ENG_20081121.0047.LDC2009T13_1539_48-NYT_ENG_20081121.0047.LDC2009T13_1539_63,248911
eng-WL-110-174612-12993397_37_30,eng-WL-110-174612-12993397_37_39,eng-WL-110-174612-12993397_37,Vanessa Carlton-Snoop Dogg,f,eng-WL-110-174612-12993397_37_30-eng-WL-110-174612-12993397_37_39,244197
NYT_ENG_20070712.0210.LDC2009T13_123_16,NYT_ENG_20070712.0210.LDC2009T13_123_42,NYT_ENG_20070712.0210.LDC2009T13_123,Andrew-Diana,f,NYT_ENG_20070712.0210.LDC2009T13_123_16-NYT_ENG_20070712.0210.LDC2009T13_123_42,287209
eng-NG-31-145805-10295759_56_1,eng-NG-31-145805-10295759_56_14,eng-NG-31-145805-10295759_56,Brad Pitt-Brad Pitt,f,eng-NG-31-145805-10295759_56_1-eng-NG-31-145805-10295759_56_14,107424
NYT_ENG_20080131.0266.LDC2009T13_864_25,NYT_ENG_20080131.0266.LDC2009T13_864_40,NYT_ENG_20080131.0266.LDC2009T13_864,Kennedy-John F. Kennedy,f,NYT_ENG_20080131.0266.LDC2009T13_864_25-NYT_ENG_20080131.0266.LDC2009T13_864_40,76225
LTW_ENG_20071012.0011.LDC2009T13_98_7,LTW_ENG_20071012.0011.LDC2009T13_98_0,LTW_ENG_20071012.0011.LDC2009T13_98,Hosni Mubarak-Gamal Mubarak,f,LTW_ENG_20071012.0011.LDC2009T13_98_7-LTW_ENG_20071012.0011.LDC2009T13_98_0,88026
NYT_ENG_20070807.0013.LDC2009T13_8_20,NYT_ENG_20070807.0013.LDC2009T13_8_23,NYT_ENG_20070807.0013.LDC2009T13_8,Frank Sinatra-Dean Martin,f,NYT_ENG_20070807.0013.LDC2009T13_8_20-NYT_ENG_20070807.0013.LDC2009T13_8_23,291071
eng-WL-106-174566-12931288_23_36,eng-WL-106-174566-12931288_23_42,eng-WL-106-174566-12931288_23,George Harrison-Joe Frazier,f,eng-WL-106-174566-12931288_23_36-eng-WL-106-174566-12931288_23_42,165338
eng-WL-11-174595-12968216_1294_10,eng-WL-11-174595-12968216_1294_0,eng-WL-11-174595-12968216_1294,Naomi Watts-Claire Danes,f,eng-WL-11-174595-12968216_1294_10-eng-WL-11-174595-12968216_1294_0,54853
LTW_ENG_20070614.0096.LDC2009T13_804_17,LTW_ENG_20070614.0096.LDC2009T13_804_29,LTW_ENG_20070614.0096.LDC2009T13_804,Duane Clark-Dick Clark,f,LTW_ENG_20070614.0096.LDC2009T13_804_17-LTW_ENG_20070614.0096.LDC2009T13_804_29,93152
45467@27_23,45467@27_9,45467@27,Patrick Wilson-Toni Collette,f,45467@27_23-45467@27_9,255804
72549@33_27,72549@33_90,72549@33,Christian Slater-S. Epatha Merkerson,f,72549@33_27-72549@33_90,142206
APW_ENG_20070403.0835.LDC2009T13_89_18,APW_ENG_20070403.0835.LDC2009T13_89_6,APW_ENG_20070403.0835.LDC2009T13_89,B.B. King-Paul Newman,f,APW_ENG_20070403.0835.LDC2009T13_89_18-APW_ENG_20070403.0835.LDC2009T13_89_6,145411
48538@5_30,48538@5_41,48538@5,Howard Stringer-Jeff Bezos,f,48538@5_30-48538@5_41,23365
APW_ENG_20080215.0114.LDC2009T13_495_20,APW_ENG_20080215.0114.LDC2009T13_495_1,APW_ENG_20080215.0114.LDC2009T13_495,Miley Cyrus-Billy Ray Cyrus,f,APW_ENG_20080215.0114.LDC2009T13_495_20-APW_ENG_20080215.0114.LDC2009T13_495_1,208056
APW_ENG_20080925.1258.LDC2009T13_174_40,APW_ENG_20080925.1258.LDC2009T13_174_31,APW_ENG_20080925.1258.LDC2009T13_174,Oscar de la Renta-Michael Douglas,f,APW_ENG_20080925.1258.LDC2009T13_174_40-APW_ENG_20080925.1258.LDC2009T13_174_31,7943
90852@47_38,90852@47_46,90852@47,Diane Keaton-Tom Cruise,f,90852@47_38-90852@47_46,3529
36745@34_35,36745@34_2,36745@34,Bill Nighy-Johnny Depp,f,36745@34_35-36745@34_2,62102
118549@2_32,118549@2_1,118549@2,Johnson-Lyndon Johnson,f,118549@2_32-118549@2_1,253497
LTW_ENG_20070206.0047.LDC2009T13_53_54,LTW_ENG_20070206.0047.LDC2009T13_53_38,LTW_ENG_20070206.0047.LDC2009T13_53,Libby-Valerie Plame,f,LTW_ENG_20070206.0047.LDC2009T13_53_54-LTW_ENG_20070206.0047.LDC2009T13_53_38,129696
NYT_ENG_20071214.0135.LDC2009T13_8_11,NYT_ENG_20071214.0135.LDC2009T13_8_14,NYT_ENG_20071214.0135.LDC2009T13_8,Guillaume Apollinaire-Amedeo Modigliani,f,NYT_ENG_20071214.0135.LDC2009T13_8_11-NYT_ENG_20071214.0135.LDC2009T13_8_14,194495
eng-NG-31-148812-10576052_1176_13,eng-NG-31-148812-10576052_1176_23,eng-NG-31-148812-10576052_1176,Emily-Rob,f,eng-NG-31-148812-10576052_1176_13-eng-NG-31-148812-10576052_1176_23,86531
LTW_ENG_20080809.0039.LDC2009T13_122_5,LTW_ENG_20080809.0039.LDC2009T13_122_9,LTW_ENG_20080809.0039.LDC2009T13_122,Madonna-Christopher Ciccone,f,LTW_ENG_20080809.0039.LDC2009T13_122_5-LTW_ENG_20080809.0039.LDC2009T13_122_9,10391
NYT_ENG_20071020.0014.LDC2009T13_855_35,NYT_ENG_20071020.0014.LDC2009T13_855_19,NYT_ENG_20071020.0014.LDC2009T13_855,Cindy Ross-Melissa Putnam,f,NYT_ENG_20071020.0014.LDC2009T13_855_35-NYT_ENG_20071020.0014.LDC2009T13_855_19,173414
APW_ENG_20070114.0209.LDC2009T13_467_17,APW_ENG_20070114.0209.LDC2009T13_467_3,APW_ENG_20070114.0209.LDC2009T13_467,Yolanda King-Martin Luther King III,f,APW_ENG_20070114.0209.LDC2009T13_467_17-APW_ENG_20070114.0209.LDC2009T13_467_3,189070
eng-WL-110-174612-12991898_109_31,eng-WL-110-174612-12991898_109_41,eng-WL-110-174612-12991898_109,Sean-Janet Jackson,f,eng-WL-110-174612-12991898_109_31-eng-WL-110-174612-12991898_109_41,28747
32186@40_2,32186@40_17,32186@40,Tobey Maguire-James Franco,f,32186@40_2-32186@40_17,81539
LTW_ENG_20080815.0084.LDC2009T13_337_71,LTW_ENG_20080815.0084.LDC2009T13_337_19,LTW_ENG_20080815.0084.LDC2009T13_337,Venus Williams-Venus,f,LTW_ENG_20080815.0084.LDC2009T13_337_71-LTW_ENG_20080815.0084.LDC2009T13_337_19,192695
eng-NG-31-100684-11208077_1357_23,eng-NG-31-100684-11208077_1357_19,eng-NG-31-100684-11208077_1357,Brad Pitt-Alice,f,eng-NG-31-100684-11208077_1357_23-eng-NG-31-100684-11208077_1357_19,128199
eng-WL-11-174611-12972075_67_33,eng-WL-11-174611-12972075_67_28,eng-WL-11-174611-12972075_67,Chris Hughes-Kate Clinton,f,eng-WL-11-174611-12972075_67_33-eng-WL-11-174611-12972075_67_28,36395
AFP_ENG_20080817.0128.LDC2009T13_600_17,AFP_ENG_20080817.0128.LDC2009T13_600_20,AFP_ENG_20080817.0128.LDC2009T13_600,John-Michael,f,AFP_ENG_20080817.0128.LDC2009T13_600_17-AFP_ENG_20080817.0128.LDC2009T13_600_20,218600
LTW_ENG_20080311.0090.LDC2009T13_236_74,LTW_ENG_20080311.0090.LDC2009T13_236_62,LTW_ENG_20080311.0090.LDC2009T13_236,Dan Abrams-Alan Greenspan,f,LTW_ENG_20080311.0090.LDC2009T13_236_74-LTW_ENG_20080311.0090.LDC2009T13_236_62,116148
eng-WL-11-174587-12963132_11_31,eng-WL-11-174587-12963132_11_3,eng-WL-11-174587-12963132_11,Heidi-Heidi Montag,f,eng-WL-11-174587-12963132_11_31-eng-WL-11-174587-12963132_11_3,287764
NYT_ENG_20070809.0124.LDC2009T13_735_22,NYT_ENG_20070809.0124.LDC2009T13_735_31,NYT_ENG_20070809.0124.LDC2009T13_735,J. Michael Muro-Dean Zimmerman,f,NYT_ENG_20070809.0124.LDC2009T13_735_22-NYT_ENG_20070809.0124.LDC2009T13_735_31,192510
135441@22_22,135441@22_19,135441@22,John Malkovich-Frances McDormand,f,135441@22_22-135441@22_19,1531
NYT_ENG_20070502.0106.LDC2009T13_907_2,NYT_ENG_20070502.0106.LDC2009T13_907_5,NYT_ENG_20070502.0106.LDC2009T13_907,Julie Christie-Gordon Pinsent,f,NYT_ENG_20070502.0106.LDC2009T13_907_2-NYT_ENG_20070502.0106.LDC2009T13_907_5,174105
eng-WL-110-174612-12990898_66_9,eng-WL-110-174612-12990898_66_61,eng-WL-110-174612-12990898_66,Janet Jackson-Justin Timberlake,f,eng-WL-110-174612-12990898_66_9-eng-WL-110-174612-12990898_66_61,268372
48759@14_42,48759@14_20,48759@14,Susan Ford-Rosalynn Carter,f,48759@14_42-48759@14_20,99506
eng-WL-110-174612-12992130_44_25,eng-WL-110-174612-12992130_44_65,eng-WL-110-174612-12992130_44,Mary J. Blige-Toni Braxton,f,eng-WL-110-174612-12992130_44_25-eng-WL-110-174612-12992130_44_65,209721
LTW_ENG_20070921.0005.LDC2009T13_627_19,LTW_ENG_20070921.0005.LDC2009T13_627_16,LTW_ENG_20070921.0005.LDC2009T13_627,Claire Danes-Natasha Richardson,f,LTW_ENG_20070921.0005.LDC2009T13_627_19-LTW_ENG_20070921.0005.LDC2009T13_627_16,72246
AFP_ENG_19960911.0616.LDC2007T07_217_10,AFP_ENG_19960911.0616.LDC2007T07_217_6,AFP_ENG_19960911.0616.LDC2007T07_217,Jacob-Abraham,f,AFP_ENG_19960911.0616.LDC2007T07_217_10-AFP_ENG_19960911.0616.LDC2007T07_217_6,121186
34215@40_47,34215@40_53,34215@40,Jimmy Durante-Dorothy Fields,f,34215@40_47-34215@40_53,22544
APW_ENG_20080416.1541.LDC2009T13_503_36,APW_ENG_20080416.1541.LDC2009T13_503_29,APW_ENG_20080416.1541.LDC2009T13_503,Avery Taylor-Anne Taylor Fleming,f,APW_ENG_20080416.1541.LDC2009T13_503_36-APW_ENG_20080416.1541.LDC2009T13_503_29,183503
NYT_ENG_20070318.0044.LDC2009T13_645_0,NYT_ENG_20070318.0044.LDC2009T13_645_9,NYT_ENG_20070318.0044.LDC2009T13_645,Nathaniel Benchley-Robert Benchley,f,NYT_ENG_20070318.0044.LDC2009T13_645_0-NYT_ENG_20070318.0044.LDC2009T13_645_9,212006
83443@9_14,83443@9_34,83443@9,Jane Fonda-Peter Fonda,f,83443@9_14-83443@9_34,22967
eng-NG-31-102460-10983987_18_15,eng-NG-31-102460-10983987_18_48,eng-NG-31-102460-10983987_18,Julia Roberts-Scarlett Johansson,f,eng-NG-31-102460-10983987_18_15-eng-NG-31-102460-10983987_18_48,123109
NYT_ENG_20080306.0238.LDC2009T13_237_22,NYT_ENG_20080306.0238.LDC2009T13_237_45,NYT_ENG_20080306.0238.LDC2009T13_237,Hillary Rodham Clinton-Chelsea Clinton,f,NYT_ENG_20080306.0238.LDC2009T13_237_22-NYT_ENG_20080306.0238.LDC2009T13_237_45,58185
eng-NG-31-131514-12113107_892_48,eng-NG-31-131514-12113107_892_33,eng-NG-31-131514-12113107_892,Forest Whitaker-Dennis Hopper,f,eng-NG-31-131514-12113107_892_48-eng-NG-31-131514-12113107_892_33,244660
APW_ENG_20081215.0083.LDC2009T13_277_16,APW_ENG_20081215.0083.LDC2009T13_277_20,APW_ENG_20081215.0083.LDC2009T13_277,Kathie Lee Gifford-Hoda Kotb,f,APW_ENG_20081215.0083.LDC2009T13_277_16-APW_ENG_20081215.0083.LDC2009T13_277_20,202453
82383@26_79,82383@26_53,82383@26,Michael Douglas-Val Kilmer,f,82383@26_79-82383@26_53,161103
eng-NG-31-102460-10983987_18_27,eng-NG-31-102460-10983987_18_44,eng-NG-31-102460-10983987_18,Justin Timberlake-Neil Patrick Harris,f,eng-NG-31-102460-10983987_18_27-eng-NG-31-102460-10983987_18_44,260495
145173@42_11,145173@42_20,145173@42,Mark Warner-Kay Hagan,f,145173@42_11-145173@42_20,255079
93681@30_55,93681@30_19,93681@30,Jamie-Nathan Scott,f,93681@30_55-93681@30_19,198582
82383@26_44,82383@26_50,82383@26,Randy Travis-Barry Switzer,f,82383@26_44-82383@26_50,180571
LTW_ENG_20080722.0096.LDC2009T13_5_3,LTW_ENG_20080722.0096.LDC2009T13_5_6,LTW_ENG_20080722.0096.LDC2009T13_5,Isaac-Isaac,f,LTW_ENG_20080722.0096.LDC2009T13_5_3-LTW_ENG_20080722.0096.LDC2009T13_5_6,232292
AFP_ENG_20080430.0201.LDC2009T13_11_62,AFP_ENG_20080430.0201.LDC2009T13_11_70,AFP_ENG_20080430.0201.LDC2009T13_11,Zara Phillips-Elizabeth II,f,AFP_ENG_20080430.0201.LDC2009T13_11_62-AFP_ENG_20080430.0201.LDC2009T13_11_70,266695
APW_ENG_20071030.1563.LDC2009T13_364_25,APW_ENG_20071030.1563.LDC2009T13_364_27,APW_ENG_20071030.1563.LDC2009T13_364,Isaac-Jacob,f,APW_ENG_20071030.1563.LDC2009T13_364_25-APW_ENG_20071030.1563.LDC2009T13_364_27,219515
AFP_ENG_20080710.0726.LDC2009T13_28_38,AFP_ENG_20080710.0726.LDC2009T13_28_2,AFP_ENG_20080710.0726.LDC2009T13_28,Nathan Hauritz-Ricky Ponting,f,AFP_ENG_20080710.0726.LDC2009T13_28_38-AFP_ENG_20080710.0726.LDC2009T13_28_2,124564
71209@5_16,71209@5_8,71209@5,William O. Douglas-Burton,f,71209@5_16-71209@5_8,236682
NYT_ENG_20080717.0143.LDC2009T13_1024_15,NYT_ENG_20080717.0143.LDC2009T13_1024_7,NYT_ENG_20080717.0143.LDC2009T13_1024,Bob Kane-Christopher,f,NYT_ENG_20080717.0143.LDC2009T13_1024_15-NYT_ENG_20080717.0143.LDC2009T13_1024_7,213355
APW_ENG_20080122.0917.LDC2009T13_611_18,APW_ENG_20080122.0917.LDC2009T13_611_21,APW_ENG_20080122.0917.LDC2009T13_611,Ethan Coen-Joel Coen,f,APW_ENG_20080122.0917.LDC2009T13_611_18-APW_ENG_20080122.0917.LDC2009T13_611_21,103383
NYT_ENG_20080401.0215.LDC2009T13_814_43,NYT_ENG_20080401.0215.LDC2009T13_814_28,NYT_ENG_20080401.0215.LDC2009T13_814,Sigmund Freud-Matthew Freud,f,NYT_ENG_20080401.0215.LDC2009T13_814_43-NYT_ENG_20080401.0215.LDC2009T13_814_28,212495
LTW_ENG_19960820.0031.LDC2007T07_222_47,LTW_ENG_19960820.0031.LDC2007T07_222_25,LTW_ENG_19960820.0031.LDC2007T07_222,John Standing-Shashi Kapoor,f,LTW_ENG_19960820.0031.LDC2007T07_222_47-LTW_ENG_19960820.0031.LDC2007T07_222_25,56870
eng-NG-31-141971-9990686_233_25,eng-NG-31-141971-9990686_233_37,eng-NG-31-141971-9990686_233,Kafeel Ahmed-Sabeel Ahmed,f,eng-NG-31-141971-9990686_233_25-eng-NG-31-141971-9990686_233_37,35282
APW_ENG_20071003.1358.LDC2009T13_133_34,APW_ENG_20071003.1358.LDC2009T13_133_16,APW_ENG_20071003.1358.LDC2009T13_133,Valerie Bertinelli-Scarlett Johansson,f,APW_ENG_20071003.1358.LDC2009T13_133_34-APW_ENG_20071003.1358.LDC2009T13_133_16,162687
eng-NG-31-142885-10105306_1426_4,eng-NG-31-142885-10105306_1426_9,eng-NG-31-142885-10105306_1426,Abraham-Ishmael,f,eng-NG-31-142885-10105306_1426_4-eng-NG-31-142885-10105306_1426_9,202497
NYT_ENG_20070205.0183.LDC2009T13_8_10,NYT_ENG_20070205.0183.LDC2009T13_8_21,NYT_ENG_20070205.0183.LDC2009T13_8,Brent Redstone-Redstone,f,NYT_ENG_20070205.0183.LDC2009T13_8_10-NYT_ENG_20070205.0183.LDC2009T13_8_21,130741
82383@25_70,82383@25_111,82383@25,Bette Midler-Eddie Murphy,f,82383@25_70-82383@25_111,160060
79623@20_19,79623@20_16,79623@20,Sherry Lansing-Steve Tisch,f,79623@20_19-79623@20_16,162232
56584@22_41,56584@22_11,56584@22,Sandra-Jane,f,56584@22_41-56584@22_11,101442
60823@7_8,60823@7_48,60823@7,Halsted Welles-Glenn Ford,f,60823@7_8-60823@7_48,277501
eng-NG-31-100675-11206558_385_66,eng-NG-31-100675-11206558_385_34,eng-NG-31-100675-11206558_385,Julie Halston-Bill Charlap,f,eng-NG-31-100675-11206558_385_66-eng-NG-31-100675-11206558_385_34,226193
APW_ENG_20080527.1226.LDC2009T13_294_20,APW_ENG_20080527.1226.LDC2009T13_294_51,APW_ENG_20080527.1226.LDC2009T13_294,Peter Odemwingie-Nwankwo Kanu,f,APW_ENG_20080527.1226.LDC2009T13_294_20-APW_ENG_20080527.1226.LDC2009T13_294_51,244855
NYT_ENG_20070628.0134.LDC2009T13_882_44,NYT_ENG_20070628.0134.LDC2009T13_882_9,NYT_ENG_20070628.0134.LDC2009T13_882,Mamie Gummer-Toni Collette,f,NYT_ENG_20070628.0134.LDC2009T13_882_44-NYT_ENG_20070628.0134.LDC2009T13_882_9,250744
eng-NG-31-141971-9990259_157_10,eng-NG-31-141971-9990259_157_28,eng-NG-31-141971-9990259_157,Tom Cruise-L. Ron Hubbard,f,eng-NG-31-141971-9990259_157_10-eng-NG-31-141971-9990259_157_28,52779
APW_ENG_20070524.0883.LDC2009T13_361_6,APW_ENG_20070524.0883.LDC2009T13_361_39,APW_ENG_20070524.0883.LDC2009T13_361,Matt Damon-Rosario Dawson,f,APW_ENG_20070524.0883.LDC2009T13_361_6-APW_ENG_20070524.0883.LDC2009T13_361_39,32485
eng-WL-109-174581-12950893_678_24,eng-WL-109-174581-12950893_678_21,eng-WL-109-174581-12950893_678,David Schwimmer-Willem Dafoe,f,eng-WL-109-174581-12950893_678_24-eng-WL-109-174581-12950893_678_21,14314
APW_ENG_20070405.0598.LDC2009T13_263_0,APW_ENG_20070405.0598.LDC2009T13_263_20,APW_ENG_20070405.0598.LDC2009T13_263,Michael Jackson-Michael Jackson,f,APW_ENG_20070405.0598.LDC2009T13_263_0-APW_ENG_20070405.0598.LDC2009T13_263_20,284661
AFP_ENG_20081120.0231.LDC2009T13_182_12,AFP_ENG_20081120.0231.LDC2009T13_182_6,AFP_ENG_20081120.0231.LDC2009T13_182,Sachin Tendulkar-Gautam Gambhir,f,AFP_ENG_20081120.0231.LDC2009T13_182_12-AFP_ENG_20081120.0231.LDC2009T13_182_6,13048
APW_ENG_20070516.0542.LDC2009T13_167_22,APW_ENG_20070516.0542.LDC2009T13_167_17,APW_ENG_20070516.0542.LDC2009T13_167,Dexter Scott King-Martin Luther King III,f,APW_ENG_20070516.0542.LDC2009T13_167_22-APW_ENG_20070516.0542.LDC2009T13_167_17,162812
LTW_ENG_20070301.0009.LDC2009T13_261_17,LTW_ENG_20070301.0009.LDC2009T13_261_20,LTW_ENG_20070301.0009.LDC2009T13_261,Joseph-Maria,f,LTW_ENG_20070301.0009.LDC2009T13_261_17-LTW_ENG_20070301.0009.LDC2009T13_261_20,94716
NYT_ENG_20071009.0138.LDC2009T13_1131_12,NYT_ENG_20071009.0138.LDC2009T13_1131_24,NYT_ENG_20071009.0138.LDC2009T13_1131,Deborah Curtis-Joe Anderson,f,NYT_ENG_20071009.0138.LDC2009T13_1131_12-NYT_ENG_20071009.0138.LDC2009T13_1131_24,91843
73290@20_15,73290@20_25,73290@20,Sidney Lumet-Marisa Tomei,f,73290@20_15-73290@20_25,160593
eng-WL-11-174588-12938020_3814_43,eng-WL-11-174588-12938020_3814_28,eng-WL-11-174588-12938020_3814,Jennifer Tilly-Jane Fonda,f,eng-WL-11-174588-12938020_3814_43-eng-WL-11-174588-12938020_3814_28,126837
APW_ENG_20070515.1057.LDC2009T13_133_25,APW_ENG_20070515.1057.LDC2009T13_133_56,APW_ENG_20070515.1057.LDC2009T13_133,Rupert Holmes-Laurence O'Keefe,f,APW_ENG_20070515.1057.LDC2009T13_133_25-APW_ENG_20070515.1057.LDC2009T13_133_56,246957
eng-WL-11-174595-12967910_2091_6,eng-WL-11-174595-12967910_2091_16,eng-WL-11-174595-12967910_2091,Lionel Richie-Nicole Richie,f,eng-WL-11-174595-12967910_2091_6-eng-WL-11-174595-12967910_2091_16,70570
